,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,62416,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial1,0.06177540028443,False
1,1,1,1,62417,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial2,-0.218658088733201,False
2,2,2,2,62418,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial3,-0.258548138578255,False
3,3,3,3,62419,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial4,-0.148393324888998,False
4,4,4,4,62420,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial5,-0.0503944141542862,False
5,5,5,5,62421,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial6,-0.166779977007565,False
6,6,6,6,62422,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial7,-0.0770906631613175,False
7,7,7,7,62423,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial8,-0.182115969588825,False
8,8,8,8,62424,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial9,-0.204055253509086,False
9,9,9,9,62425,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial10,0.0074177379618372,False
10,10,10,10,62426,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial11,-0.163073395857646,False
11,11,11,11,62427,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial12,-0.112108353933408,False
12,12,12,12,62428,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial13,-0.163045436085418,False
13,13,13,13,62429,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial14,-0.139466250008057,False
14,14,14,14,62430,JSH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial15,-0.0014910813558852,False
