,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
106341,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial1,0.0736692438734825
106342,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial2,-0.0321225652392849
106343,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial3,0.0453387224229003
106344,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial4,0.0481347011875761
106345,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial5,-0.195971395250744
106346,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial6,-0.126527377169667
106347,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial7,-0.203287701585876
106348,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial8,-0.25007597385295
106349,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial9,-0.118333671591353
106350,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial10,-0.215741129215168
106351,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial11,-0.143447411863185
106352,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial12,-0.183923004947221
106353,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial13,-0.25007597385295
106354,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial14,-0.15212284105182
106355,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial15,-0.255649513487024
106356,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial16,-0.00787894924813282
106357,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial17,-0.228640701568957
106358,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial18,-0.272624395875217
106359,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial19,-0.172337716564092
106360,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial20,-0.174653283434389
106361,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial21,-0.143447411863185
106362,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial22,-0.266915872303017
106363,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial23,-0.24465447716692
106364,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial24,-0.100444219833981
106365,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial25,-0.233944183265653
106366,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial26,-0.122503387376451
106367,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial27,-0.22096557619782
106368,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial28,-0.266915872303017
106369,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial29,-0.0142111439980805
106370,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial30,-0.195971395250744
106371,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial31,-0.160986301383125
106372,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial32,-0.223478749587488
106373,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial33,-0.293436808992012
106374,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial34,-0.0703628742446698
106375,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial35,-0.215741129215168
106376,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial36,-0.126589417761459
106377,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial37,-0.266915872303017
106378,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial38,-0.24465447716692
106379,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial39,0.0210119013331007
106380,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial40,-0.0966537708254505
106381,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial41,-0.170034430360522
106382,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial42,-0.233944183265653
106383,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial43,-0.278585008327686
106384,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial44,-0.0758300250084303
106385,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial45,-0.183993811906195
106386,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial46,-0.0704173881964447
106387,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial47,-0.215817319001961
106388,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial48,-0.308908944912114
106389,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial49,-0.108294342307103
106390,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial50,-0.244735912472222
106391,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial51,-0.132817685856433
106392,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial52,-0.252846887782779
106393,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial53,-0.351878018305294
