,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,144529,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial1,0.0238039924847602,False
1,1,1,1,144530,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial2,-0.105954932138228,False
2,2,2,2,144531,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial3,-0.0963579858237522,False
3,3,3,3,144532,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial4,-0.168468384675902,False
4,4,4,4,144533,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial5,-0.105954932138228,False
5,5,5,5,144534,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial6,-0.161824914885149,False
6,6,6,6,144535,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial7,-0.184477480982152,False
7,7,7,7,144536,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial8,-0.208229684110584,False
8,8,8,8,144537,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial9,-0.172867793837735,False
9,9,9,9,144538,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial10,-0.0945128808343947,False
10,10,10,10,144539,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial11,-0.131920495174698,False
11,11,11,11,144540,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial12,-0.172867793837735,False
12,12,12,12,144541,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial13,-0.177449349519561,False
13,13,13,13,144542,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial14,-0.111791025897844,False
14,14,14,14,144543,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial15,-0.205685364861905,False
15,15,15,15,144544,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial16,-0.228303397099618,False
16,16,16,16,144545,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial17,-0.105954932138228,False
17,17,17,17,144546,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial18,-0.111791025897844,False
18,18,18,18,144547,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial19,-0.150797835034497,False
19,19,19,19,144548,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial20,-0.172867793837735,False
20,20,20,20,144549,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial21,-0.257490893011989,False
21,21,21,21,144550,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial22,-0.179821578650872,False
22,22,22,22,144551,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial23,-0.0547765595981686,False
23,23,23,23,144552,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial24,-0.175215061467744,False
24,24,24,24,144553,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial25,-0.196262825159898,False
25,25,25,25,144554,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial26,-0.285911891846997,True
