,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
64513,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial1,0.167983600621334
64514,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial2,-0.026054461373902
64515,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial3,-0.016665009415715
64516,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial4,-0.206922478729371
64517,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial5,-0.0720427469095166
64518,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial6,-0.215608367397147
64519,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial7,-0.32146015678881
64520,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial8,-0.317695005079696
64521,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial9,0.0323935771554882
64522,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial10,-0.135455025832575
64523,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial11,-0.252408420420748
64524,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial12,-0.30311405570609
64525,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial13,-0.29950399889829
64526,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial14,-0.39026423142499
64527,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial15,-0.0914552458256668
64528,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial16,-0.296047280554536
64529,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial17,-0.32146015678881
64530,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial18,-0.317806372158322
64531,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial19,-0.233611081639484
64532,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial20,-0.107214403296856
64533,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial21,-0.34855262245445
64534,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial22,-0.540770366081703
64535,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial23,-0.275309715723291
64536,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial24,-0.431536295979217
64537,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial25,-0.192760908196213
64538,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial26,-0.422064395320392
64539,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial27,-0.313980615658734
64540,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial28,-0.184515958976006
64541,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial29,-0.373083284085493
64542,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial30,-0.227597256794517
64543,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial31,-0.403582956330475
64544,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial32,-0.466769012161926
64545,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial33,-0.168468126754683
64546,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial34,-0.381642556210396
64547,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial35,-0.285511647338899
64548,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial36,-0.255533488757333
64549,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial37,-0.310388961498127
64550,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial38,-0.224471525231246
64551,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial39,-0.364668767542838
64552,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial40,-0.328937434434435
64553,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial41,-0.461697699471875
64554,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial42,-0.451400974778973
64555,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial43,-0.10035336831289
64556,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial44,0.0839005066239111
64557,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial45,-0.0657843104904847
64558,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial46,-0.285511647338899
64559,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial47,-0.340478644176827
64560,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial48,-0.368970496985569
64561,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial49,-0.329051722456648
64562,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial50,-0.242853382684952
64563,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial51,-0.171055577974842
64564,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial52,-0.268694439929758
64565,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial53,-0.32146015678881
64566,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial54,-0.236618715681517
64567,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial55,-0.288989413014484
64568,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial56,-0.493776984834444
64569,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial57,-0.332917076019301
64570,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial58,-0.17642462579374
64571,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial59,-0.198406907042115
64572,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial60,-0.30311405570609
64573,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial61,-0.325239352048526
64574,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial62,-0.265259697606974
64575,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial63,-0.128220851153356
64576,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial64,-0.0783926913326392
64577,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial65,-0.24919470931895
64578,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial66,0.486839401450128
64579,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial67,-0.360634533868032
64580,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial68,-0.385877711841295
64581,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial69,-0.600533994562271
64582,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial70,-0.436411836076037
64583,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial71,-0.426834172022811
64584,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial72,-0.26206411222258
64585,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial73,0.0454482528577587
64586,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial74,0.0627682538645504
64587,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial75,-0.0129414197176199
64588,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run19,Trial76,-0.121105206615385
