,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
65803,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial1,0.0824633279638891
65804,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial2,-0.162822151705466
65805,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial3,-0.32511015013287
65806,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial4,-0.317194848650704
65807,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial5,-0.38192161484778
65808,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial6,-0.411103512603651
65809,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial7,-0.36379337989077
65810,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial8,-0.260645804555273
65811,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial9,-0.313270715441003
65812,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial10,-0.309164490878087
65813,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial11,-0.411103512603651
65814,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial12,-0.481412976190607
65815,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial13,-0.253587937015221
65816,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial14,-0.511837724034336
65817,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial15,-0.487175089902822
65818,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial16,-0.386521340026672
65819,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial17,-0.558036218676327
65820,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial18,-0.297515600020038
65821,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial19,-0.359183251846667
65822,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial20,-0.572346699639634
65823,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial21,-0.333443731683994
65824,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial22,-0.396424365731157
65825,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial23,-0.285927657779252
65826,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial24,-0.463866243034299
65827,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial25,-0.669482966615769
65828,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial26,-0.317194848650704
65829,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial27,-0.420976849392174
65830,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial28,-0.333443731683994
65831,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial29,-0.401156743252781
65832,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial30,-0.51763791170158
65833,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial31,-0.37263722075858
65834,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial32,-0.329391381591156
65835,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial33,-0.359183251846667
65836,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial34,-0.420976849392174
65837,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial35,-0.452980820622752
65838,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial36,-0.481412976190607
65839,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial37,-0.38192161484778
65840,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial38,-0.372911512019427
65841,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial39,-0.401156743252781
65842,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial40,-0.643225921475258
65843,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial41,-0.37263722075858
65844,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial42,-0.401156743252781
65845,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial43,-0.354862755425728
65846,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial44,-0.511837724034336
65847,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial45,-0.544555545800586
65848,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial46,-0.321134466946913
65849,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial47,-0.464204676312212
65850,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial48,-0.301279927353096
65851,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial49,-0.329391381591156
65852,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial50,-0.391432696023548
65853,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial51,-0.420976849392174
65854,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial52,-0.305331501958049
65855,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial53,-0.401156743252781
65856,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial54,-0.391432696023548
65857,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial55,-0.625894434626561
65858,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial56,-0.329391381591156
65859,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial57,-0.354862755425728
65860,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial58,-0.20130963948727
65861,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial59,-0.346112081849224
65862,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial60,-0.610174743640285
65863,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial61,-0.354862755425728
65864,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial62,-0.34639162674362
65865,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial63,-0.377393197808297
65866,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial64,-0.368181480331212
65867,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial65,-0.436843014936658
65868,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial66,0.25692490203823
65869,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial67,-0.391432696023548
65870,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial68,-0.420976849392174
65871,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial69,-0.452980820622752
65872,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial70,-0.531085638813952
65873,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial71,-0.38192161484778
65874,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial72,-0.305331501958049
65875,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial73,-0.329143236941855
65876,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial74,-0.396134819979955
65877,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial75,-0.56534614103751
65878,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial76,-0.447326540449106
65879,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial77,-0.391743000154188
65880,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial78,-0.346112081849224
65881,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial79,-0.411103512603651
65882,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial80,-0.537584593380422
65883,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial81,-0.346112081849224
65884,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial82,-0.377393197808297
65885,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial83,-0.36379337989077
65886,LOW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial84,-0.431367536162663
