,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
106834,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial1,0.354231881893883
106835,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial2,-0.0634600632604014
106836,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial3,-0.13247986151388
106837,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial4,0.20442970523217
106838,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial5,-0.14727477817831
106839,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial6,-0.169324918921384
106840,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial7,-0.155960957363403
106841,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial8,-0.110213337244026
106842,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial9,0.150518224995248
106843,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial10,-0.273649200331765
106844,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial11,0.352874710533466
106845,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial12,-0.0376527996541163
106846,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial13,-0.046085967190979
106847,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial14,-0.000839712100643819
106848,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial15,-0.14087228656918
106849,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial16,-0.145130109711721
106850,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial17,-0.16706883861716
106851,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial18,-0.190175057894505
106852,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial19,0.0592572133539404
106853,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial20,-0.173872546672105
106854,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial21,-0.197353642521628
106855,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial22,-0.112182032784816
106856,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial23,-0.102368435325705
106857,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial24,0.0373323317999006
106858,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial25,-0.032670399135176
106859,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial26,-0.0409980251835318
106860,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial27,-0.0359856402866532
106861,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial28,-0.0293802736881261
106862,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial29,0.127157448991876
106863,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial30,0.0345122278522525
106864,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial31,0.356933567010334
106865,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial32,-0.13247986151388
106866,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial33,-0.0890047675210623
106867,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial34,0.31601195362268
106868,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial35,0.124865652212291
106869,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial36,0.273285484670114
106870,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial37,-0.0634600632604014
106871,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial38,0.0201303016922783
106872,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial39,-0.00084738521581107
106873,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial40,-0.022873867622526
106874,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial41,0.00827169513161374
106875,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial42,0.0112668413609733
