,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,107978,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial1,0.4082179852922779,False
1,1,1,1,1,1,1,1,107979,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial2,-0.142967030999769,False
2,2,2,2,2,2,2,2,107980,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial3,0.0427187687927719,False
3,3,3,3,3,3,3,3,107981,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial4,0.147199051521893,False
4,4,4,4,4,4,4,4,107982,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial5,-0.112208008729588,False
5,5,5,5,5,5,5,5,107983,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial6,-0.202841152831663,False
6,6,6,6,6,6,6,6,107984,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial7,-0.156509182418865,False
7,7,7,7,7,7,7,7,107985,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial8,-0.228213682507939,False
8,8,8,8,8,8,8,8,107986,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial9,0.324174855763417,False
9,9,9,9,9,9,9,9,107987,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial10,-0.218421429135028,False
10,10,10,10,10,10,10,10,107988,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial11,-0.2723102653570389,False
11,11,11,11,11,11,11,11,107989,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial12,-0.16772872089884,False
12,12,12,12,12,12,12,12,107990,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial13,-0.268825812755015,False
13,13,13,13,13,13,13,13,107991,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial14,0.0581372086804084,False
14,14,14,14,14,14,14,14,107992,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial15,-0.176244292586096,False
15,15,15,15,15,15,15,15,107993,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial16,-0.2834128480461369,True
16,16,16,16,16,16,16,16,107994,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial17,-0.176244292586096,False
17,17,17,17,17,17,17,17,107995,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial18,-0.251366227328433,False
18,18,18,18,18,18,18,18,107996,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial19,0.0794035440409244,False
19,19,19,19,19,19,19,19,107997,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial20,-0.102331817031812,False
20,20,20,20,20,20,20,20,107998,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial21,-0.298487854419299,True
21,21,21,21,21,21,21,21,107999,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial22,-0.187977771018146,False
22,22,22,22,22,22,22,22,108000,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial23,-0.294561165905251,True
23,23,23,23,23,23,23,23,108001,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial24,0.156675483801165,False
24,24,24,24,24,24,24,24,108002,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial25,-0.0951379208909922,False
25,25,25,25,25,25,25,25,108003,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial26,-0.261712004171042,False
26,26,26,26,26,26,26,26,108004,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial27,-0.0974706884640106,False
27,27,27,27,27,27,27,27,108005,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial28,-0.1197054179948109,False
28,28,28,28,28,28,28,28,108006,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial29,-0.0833564096598702,False
29,29,29,29,29,29,29,29,108007,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial30,-0.085766672498846,False
30,30,30,30,30,30,30,30,108008,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial31,-0.4523756122659129,True
31,31,31,31,31,31,31,31,108009,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial32,-0.238016253786483,False
32,32,32,32,32,32,32,32,108010,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial33,-0.261712004171042,False
33,33,33,33,33,33,33,33,108011,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial34,0.216470126652696,False
34,34,34,34,34,34,34,34,108012,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial35,-0.39124462988266,True
35,35,35,35,35,35,35,35,108013,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial36,-0.46309879869117,True
36,36,36,36,36,36,36,36,108014,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial37,-0.302008301233698,True
37,37,37,37,37,37,37,37,108015,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial38,-0.441248528328295,True
38,38,38,38,38,38,38,38,108016,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial39,0.519275073388764,False
39,39,39,39,39,39,39,39,108017,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial40,-0.317994005296991,True
40,40,40,40,40,40,40,40,108018,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial41,-0.4207227886356979,True
41,41,41,41,41,41,41,41,108019,LOW_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial42,-0.244749377404023,False
