,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,106972,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial1,0.142864562814376,False
1,1,1,1,106973,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial2,-0.13247986151388,False
2,2,2,2,106974,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial3,-0.138758927255781,False
3,3,3,3,106975,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial4,0.145063554749774,False
4,4,4,4,106976,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial5,-0.0546861389528965,False
5,5,5,5,106977,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial6,-0.232518059584879,False
6,6,6,6,106978,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial7,-0.108233873939823,False
7,7,7,7,106979,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial8,-0.0688197547636862,False
8,8,8,8,106980,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial9,0.254944028473002,False
9,9,9,9,106981,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial10,-0.11816234347735,False
10,10,10,10,106982,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial11,-0.194947572755749,False
11,11,11,11,106983,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial12,-0.110203466802728,False
12,12,12,12,106984,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial13,-0.16706883861716,False
13,13,13,13,106985,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial14,0.262537026248824,False
14,14,14,14,106986,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial15,-0.134562812662173,False
15,15,15,15,106987,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial16,-0.0212543410500077,False
16,16,16,16,106988,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial17,0.0316736917218519,False
17,17,17,17,106989,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial18,0.31601195362268,False
18,18,18,18,106990,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial19,0.243730241108398,False
19,19,19,19,106991,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial20,0.0685119360791022,False
20,20,20,20,106992,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial21,0.232219214019478,False
21,21,21,21,106993,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial22,-0.0460944828525425,False
22,22,22,22,106994,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial23,-0.0261148862603591,False
23,23,23,23,106995,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial24,0.196708711087208,False
24,24,24,24,106996,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial25,-0.183124878146784,False
25,25,25,25,106997,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial26,0.0067663401342965,False
26,26,26,26,106998,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial27,0.376674408198014,False
27,27,27,27,106999,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial28,-0.1222022273269479,False
28,28,28,28,107000,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial29,0.238450921924784,False
29,29,29,29,107001,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial30,-0.158159921463341,False
30,30,30,30,107002,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial31,0.057912160454626,False
31,31,31,31,107003,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial32,0.0484331145928172,False
32,32,32,32,107004,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial33,0.110849004744225,False
33,33,33,33,107005,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial34,0.267533155781023,False
34,34,34,34,107006,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial35,0.287740489983018,False
35,35,35,35,107007,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial36,0.0157211827872232,False
36,36,36,36,107008,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial37,-0.0581744667987176,False
37,37,37,37,107009,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial38,-0.126290286696183,False
38,38,38,38,107010,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial39,0.223152194049151,False
39,39,39,39,107011,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial40,-0.124256739012002,False
40,40,40,40,107012,LOW_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial41,-0.164824417694708,False
