,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,145100,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial1,0.0526624033687422,False
1,1,1,1,1,1,1,1,145101,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial2,-0.1952096451601688,False
2,2,2,2,2,2,2,2,145102,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial3,-0.0760626660042889,False
3,3,3,3,3,3,3,3,145103,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial4,-0.000523095164663,False
4,4,4,4,4,4,4,4,145104,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial5,-0.054852169214874,False
5,5,5,5,5,5,5,5,145105,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial6,-0.0760626660042889,False
6,6,6,6,6,6,6,6,145106,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial7,-0.119403229301319,False
7,7,7,7,7,7,7,7,145107,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial8,-0.0848257328140272,False
8,8,8,8,8,8,8,8,145108,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial9,0.0345294851514435,False
9,9,9,9,9,9,9,9,145109,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial10,-0.0307288297198647,False
10,10,10,10,10,10,10,10,145110,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run11,Trial11,-0.0060139418987668,False
