,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,144755,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial1,0.0494294571940719,False
1,1,1,1,144756,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial2,-0.136532555887904,False
2,2,2,2,144757,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial3,-0.119403229301319,False
3,3,3,3,144758,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial4,-0.0346591233482969,False
4,4,4,4,144759,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial5,-0.109910075767489,False
5,5,5,5,144760,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial6,-0.0760626660042889,False
6,6,6,6,144761,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial7,-0.0653385357922676,False
7,7,7,7,144762,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial8,-0.0695750694806021,False
8,8,8,8,144763,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial9,-0.0738965502297075,False
9,9,9,9,144764,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial10,-0.078217815976223,False
10,10,10,10,144765,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial11,-0.0172368395218649,False
11,11,11,11,144766,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial12,-0.14919509955683,False
12,12,12,12,144767,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial13,-0.0937805754669534,False
13,13,13,13,144768,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial14,-0.0287769411223424,False
14,14,14,14,144769,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial15,-0.0674622813476491,False
15,15,15,15,144770,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial16,-0.0738749435390611,False
16,16,16,16,144771,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial17,-0.198104856877334,False
17,17,17,17,144772,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial18,-0.134056164075244,False
18,18,18,18,144773,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial19,-0.046678178007189,False
19,19,19,19,144774,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial20,-0.164894199766545,False
20,20,20,20,144775,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial21,-0.0527890576563101,False
21,21,21,21,144776,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial22,-0.15177252244464,False
22,22,22,22,144777,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial23,-0.0782396398195391,False
23,23,23,23,144778,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial24,-0.0326895304853925,False
24,24,24,24,144779,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial25,-0.054862509436584,False
25,25,25,25,144780,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run5,Trial26,-0.0960484369227754,False
