,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,23604,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial1,-0.181768931265816,False
1,1,1,1,1,1,1,1,23605,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial2,-0.0813953988482279,False
2,2,2,2,2,2,2,2,23606,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial3,-0.237255332154636,False
3,3,3,3,3,3,3,3,23607,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial4,-0.264441540662594,False
4,4,4,4,4,4,4,4,23608,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial5,-0.0294763049845548,False
5,5,5,5,5,5,5,5,23609,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial6,-0.14567143131448,False
6,6,6,6,6,6,6,6,23610,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial7,-0.3009408622610139,True
7,7,7,7,7,7,7,7,23611,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial8,-0.145631466177545,False
8,8,8,8,8,8,8,8,23612,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial9,-0.190513607179375,False
9,9,9,9,9,9,9,9,23613,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial10,-0.53177091089666,True
10,10,10,10,10,10,10,10,23614,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial11,0.0187403671968416,False
11,11,11,11,11,11,11,11,23615,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial12,-0.193507731166427,False
12,12,12,12,12,12,12,12,23616,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial13,-0.36214472179022,True
13,13,13,13,13,13,13,13,23617,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial14,-0.234010399797526,False
14,14,14,14,14,14,14,14,23618,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial15,-0.26093570058943,False
15,15,15,15,15,15,15,15,23619,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial16,-0.097798188602165,False
16,16,16,16,16,16,16,16,23620,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial17,-0.324421958110537,True
17,17,17,17,17,17,17,17,23621,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial18,-0.28592690323368,True
18,18,18,18,18,18,18,18,23622,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial19,-0.2275280303811689,False
19,19,19,19,19,19,19,19,23623,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial20,-0.202494491276148,False
20,20,20,20,20,20,20,20,23624,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial21,-0.22747977633228,False
21,21,21,21,21,21,21,21,23625,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial22,-0.308627690927305,True
22,22,22,22,22,22,22,22,23626,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial23,-0.3047480539692039,True
23,23,23,23,23,23,23,23,23627,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial24,-0.2679406021580889,False
24,24,24,24,24,24,24,24,23628,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial25,0.14183449721842,False
25,25,25,25,25,25,25,25,23629,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial26,-0.0634015334006133,False
26,26,26,26,26,26,26,26,23630,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial27,0.161975719789076,False
27,27,27,27,27,27,27,27,23631,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial28,-0.0836763141022425,False
28,28,28,28,28,28,28,28,23632,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial29,-0.0700439836672606,False
29,29,29,29,29,29,29,29,23633,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial30,-0.0056535446048688,False
30,30,30,30,30,30,30,30,23634,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial31,-0.0633684648731871,False
31,31,31,31,31,31,31,31,23635,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial32,-0.2405909943833319,False
32,32,32,32,32,32,32,32,23636,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run11,Trial33,-0.0836763141022425,False
