,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
67000,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial1,-0.130627512721873
67001,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial2,0.0257233353999315
67002,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial3,-0.145388627414504
67003,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial4,-0.317683532979171
67004,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial5,-0.233599609538959
67005,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial6,-0.258766950841551
67006,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial7,-0.233599609538959
67007,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial8,-0.488370824521489
67008,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial9,-0.399183383789508
67009,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial10,-0.268682967829232
67010,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial11,-0.352464198435066
67011,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial12,-0.377330362137768
67012,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial13,-0.534721367251787
67013,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial14,-0.218555847503903
67014,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial15,-0.390252759324465
67015,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial16,-0.288977940913959
67016,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial17,-0.313969143558209
67017,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial18,-0.488370824521489
67018,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial19,-0.399183383789508
67019,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial20,-0.292483780987122
67020,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial21,-0.236607243580992
67021,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial22,-0.456520124681915
67022,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial23,-0.310377489397601
67023,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial24,-0.368833735582732
67024,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial25,-0.272028127816398
67025,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial26,-0.295929882970094
67026,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial27,-0.292483780987122
67027,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial28,-0.317683532979171
67028,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial29,-0.313969143558209
67029,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial30,0.117902729135166
67030,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial31,-0.102620655800295
67031,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial32,0.0581334082083504
67032,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial33,-0.204101513747823
67033,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial34,-0.306724803854805
67034,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial35,0.14170972806271
67035,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial36,-0.0317506908761556
67036,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial37,-0.125804634933742
67037,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial38,-0.288977940913959
67038,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial39,-0.187258354829996
67039,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial40,-0.381502085747961
67040,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial41,-0.123472463558949
67041,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial42,-0.348421614278515
67042,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial43,-0.0222947750637448
67043,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial44,0.0550211281432027
67044,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial45,0.0581334082083504
67045,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial46,-0.137914687560209
67046,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial47,0.0566074933605867
67047,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial48,-0.336669931251834
67048,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial49,-0.179035103915317
67049,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial50,-0.227585784693992
67050,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial51,-0.158065498806484
67051,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial52,-0.227495303534895
67052,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial53,-0.368833735582732
67053,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial54,-0.157988400549242
67054,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial55,-0.201153947301049
67055,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial56,-0.252396948320223
67056,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial57,-0.364657295442313
67057,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial58,-0.360500154031608
67058,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial59,-0.130627512721873
67059,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial60,-0.242951271211417
67060,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial61,-0.195556255751724
67061,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial62,-0.356524470845651
67062,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial63,-0.348421614278515
67063,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial64,-0.285500175238374
67064,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial65,-0.00746279685333429
67065,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial66,-0.218555847503903
67066,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial67,-0.268682967829232
67067,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial68,-0.265248225506449
67068,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial69,-0.236699643386007
67069,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial70,-0.12820937905283
67070,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial71,0.124663758308222
67071,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial72,0.00332244394512227
67072,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial73,-0.332790294293733
67073,MAM_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial74,-0.098086223991789
