,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,66063,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial1,0.306963369942229,False
1,1,1,1,1,1,1,1,66064,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial2,0.10407052550282,False
2,2,2,2,2,2,2,2,66065,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial3,-0.1657798658819599,False
3,3,3,3,3,3,3,3,66066,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial4,-0.1453262260922269,False
4,4,4,4,4,4,4,4,66067,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial5,-0.168404009708109,False
5,5,5,5,5,5,5,5,66068,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial6,-0.1117185544267709,False
6,6,6,6,6,6,6,6,66069,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial7,-0.1983531328442589,False
7,7,7,7,7,7,7,7,66070,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial8,-0.271927898302474,False
8,8,8,8,8,8,8,8,66071,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial9,-0.1955562557517239,False
9,9,9,9,9,9,9,9,66072,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial10,-0.1955562557517239,False
10,10,10,10,10,10,10,10,66073,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial11,0.0518546837442764,False
11,11,11,11,11,11,11,11,66074,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial12,-0.1453511855452169,False
12,12,12,12,12,12,12,12,66075,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial13,-0.212701685509741,False
13,13,13,13,13,13,13,13,66076,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial14,-0.011139607911911,False
14,14,14,14,14,14,14,14,66077,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial15,-0.201196523104416,False
15,15,15,15,15,15,15,15,66078,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial16,0.131301343757715,False
16,16,16,16,16,16,16,16,66079,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial17,-0.221520225293553,False
17,17,17,17,17,17,17,17,66080,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial18,-0.271927898302474,False
18,18,18,18,18,18,18,18,66081,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial19,-0.133034922942122,False
19,19,19,19,19,19,19,19,66082,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial20,0.0628183659830648,False
20,20,20,20,20,20,20,20,66083,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial21,-0.192749436095688,False
21,21,21,21,21,21,21,21,66084,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial22,0.145597349756837,False
22,22,22,22,22,22,22,22,66085,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial23,-0.0129759509519083,False
23,23,23,23,23,23,23,23,66086,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial24,0.0868611839787392,False
24,24,24,24,24,24,24,24,66087,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial25,0.0658908084871079,False
25,25,25,25,25,25,25,25,66088,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial26,0.2311123871988839,False
26,26,26,26,26,26,26,26,66089,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial27,-0.152879145046449,False
27,27,27,27,27,27,27,27,66090,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial28,-0.27196130557033,False
28,28,28,28,28,28,28,28,66091,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial29,-0.0958533425594972,False
29,29,29,29,29,29,29,29,66092,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial30,-0.137914687560209,False
30,30,30,30,30,30,30,30,66093,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial31,0.207398113098442,False
31,31,31,31,31,31,31,31,66094,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial32,-0.1453262260922269,False
32,32,32,32,32,32,32,32,66095,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial33,-0.212701685509741,False
33,33,33,33,33,33,33,33,66096,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial34,-0.1478544028382469,False
34,34,34,34,34,34,34,34,66097,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial35,-0.192763355567553,False
35,35,35,35,35,35,35,35,66098,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial36,-0.0595520929932638,False
36,36,36,36,36,36,36,36,66099,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial37,0.0502826471572924,False
37,37,37,37,37,37,37,37,66100,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial38,-0.011139607911911,False
38,38,38,38,38,38,38,38,66101,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial39,-0.003861901181652,False
39,39,39,39,39,39,39,39,66102,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial40,-0.0574981558967838,False
40,40,40,40,40,40,40,40,66103,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial41,0.154441520868859,False
41,41,41,41,41,41,41,41,66104,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial42,0.0137857675590229,False
42,42,42,42,42,42,42,42,66105,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial43,0.0597162493515824,False
43,43,43,43,43,43,43,43,66106,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial44,-0.0317699065959012,False
44,44,44,44,44,44,44,44,66107,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial45,-0.0395349794713766,False
45,45,45,45,45,45,45,45,66108,MAM_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run5,Trial46,0.101250421555171,False
