,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
108684,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial1,0.101558178026937
108685,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial2,-0.151542080898218
108686,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial3,-0.223091908050984
108687,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial4,-0.278349306523768
108688,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial5,0.0424752506529615
108689,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial6,-0.159881212961157
108690,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial7,-0.232958191917294
108691,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial8,-0.00779023030924186
108692,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial9,-0.0830411827284343
108693,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial10,-0.0691909129980264
108694,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial11,-0.0901295921431746
108695,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial12,-0.316789155644499
108696,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial13,-0.0901653861361265
108697,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial14,0.0096320535171901
108698,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial15,0.059703313253098
108699,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial16,-0.0925343362622635
108700,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial17,-0.179965868095211
108701,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial18,0.210888472517608
108702,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial19,0.159009779205753
108703,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial20,0.0664275962068328
108704,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial21,-0.104712581403974
108705,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial22,-0.127522446420107
108706,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial23,-0.109638704113064
108707,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial24,-0.0925343362622635
108708,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial25,-0.114697089246993
108709,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial26,-0.0259304558337554
108710,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial27,-0.191820260744328
108711,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial28,-0.124903629405585
108712,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial29,-0.069156806547944
108713,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial30,-0.253302898123392
108714,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial31,-0.109638704113064
108715,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial32,-0.200978398235578
108716,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial33,-0.0901295921431746
108717,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial34,0.126915581769262
108718,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial35,0.306838158720442
108719,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial36,0.00389552801595272
108720,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial37,-0.127522446420107
108721,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial38,-0.0363246090175804
108722,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial39,-0.13536906308375
108723,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial40,0.0762983502331269
108724,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial41,-0.0714593101786192
108725,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial42,-0.154313258722214
108726,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial43,-0.0238668075290978
108727,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial44,-0.0807233167069139
108728,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial45,-0.0321286971281833
108729,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial46,-0.10967614275465
108730,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial47,-0.20102460059544
108731,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial48,-0.132742127555792
108732,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial49,-0.112154256320396
108733,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial50,-0.20408487545321
108734,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial51,-0.0949524699313056
108735,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial52,-0.232958191917294
108736,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial53,-0.179965868095211
108737,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial54,-0.040593388308594
108738,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial55,0.00195030457399525
108739,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial56,-0.151583312039429
108740,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial57,-0.308820225973223
108741,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial58,0.0134084689724236
108742,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial59,0.0906725673313886
108743,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial60,-0.0691909129980264
108744,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial61,-0.112191912455499
108745,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial62,-0.28569876676596
108746,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial63,-0.20102460059544
108747,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run14,Trial64,-0.0535477208699171
