,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,108885,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial1,-0.223091908050984,False
1,1,1,1,1,1,1,1,108886,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial2,-0.617698530704482,True
2,2,2,2,2,2,2,2,108887,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial3,-0.32494801897694,True
3,3,3,3,3,3,3,3,108888,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial4,-0.391147657131719,True
4,4,4,4,4,4,4,4,108889,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial5,-0.3415275919362801,True
5,5,5,5,5,5,5,5,108890,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial6,-0.124903629405585,False
6,6,6,6,6,6,6,6,108891,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial7,-0.5509413027815749,True
7,7,7,7,7,7,7,7,108892,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial8,-0.0997685109414825,False
8,8,8,8,8,8,8,8,108893,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial9,0.0019792578611697,False
9,9,9,9,9,9,9,9,108894,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial10,-0.2784045192983189,True
10,10,10,10,10,10,10,10,108895,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial11,-0.148829444084914,False
11,11,11,11,11,11,11,11,108896,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial12,-0.617939805422856,True
12,12,12,12,12,12,12,12,108897,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial13,-0.140738110902648,False
13,13,13,13,13,13,13,13,108898,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial14,-0.165478904510482,False
14,14,14,14,14,14,14,14,108899,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial15,-0.267427540814998,False
15,15,15,15,15,15,15,15,108900,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial16,-0.0806882924875985,False
16,16,16,16,16,16,16,16,108901,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial17,-0.5372995544885921,True
17,17,17,17,17,17,17,17,108902,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial18,-0.157074393305121,False
18,18,18,18,18,18,18,18,108903,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial19,-0.13536906308375,False
19,19,19,19,19,19,19,19,108904,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial20,-0.2362528555119069,False
20,20,20,20,20,20,20,20,108905,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial21,-0.138038628848441,False
21,21,21,21,21,21,21,21,108906,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial22,-0.5306031783798629,True
22,22,22,22,22,22,22,22,108907,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial23,-0.0557687309345747,False
23,23,23,23,23,23,23,23,108908,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial24,-0.0427061764415471,False
24,24,24,24,24,24,24,24,108909,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial25,-0.047038460939099,False
25,25,25,25,25,25,25,25,108910,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial26,-0.148829444084914,False
26,26,26,26,26,26,26,26,108911,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial27,-0.505083851190611,True
27,27,27,27,27,27,27,27,108912,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial28,-0.143440988075866,False
28,28,28,28,28,28,28,28,108913,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial29,-0.16556406029152,False
29,29,29,29,29,29,29,29,108914,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial30,-0.2134131003872099,False
30,30,30,30,30,30,30,30,108915,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial31,-0.122313357758675,False
31,31,31,31,31,31,31,31,108916,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial32,-0.8453344517212321,True
32,32,32,32,32,32,32,32,108917,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial33,-0.112154256320396,False
