,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,148345,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial1,0.159895681102296,False
1,1,1,1,1,1,1,1,148346,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial2,-0.841726705638126,True
2,2,2,2,2,2,2,2,148347,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial3,-0.0944062931571832,False
3,3,3,3,3,3,3,3,148348,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial4,-0.119240914372158,False
4,4,4,4,4,4,4,4,148349,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial5,-0.330731578898687,True
5,5,5,5,5,5,5,5,148350,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial6,-0.287045991956153,True
6,6,6,6,6,6,6,6,148351,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial7,-0.247127217427232,False
7,7,7,7,7,7,7,7,148352,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial8,-0.214016850041203,False
8,8,8,8,8,8,8,8,148353,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial9,-0.190014865373583,False
9,9,9,9,9,9,9,9,148354,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial10,-0.186769934900341,False
10,10,10,10,10,10,10,10,148355,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial11,-0.308339726395574,True
11,11,11,11,11,11,11,11,148356,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial12,-0.1800416533963639,False
12,12,12,12,12,12,12,12,148357,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial13,-0.841726705638126,True
13,13,13,13,13,13,13,13,148358,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial14,-0.278710028838616,True
14,14,14,14,14,14,14,14,148359,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial15,-0.210570748058231,False
15,15,15,15,15,15,15,15,148360,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial16,-0.2665085813496239,False
16,16,16,16,16,16,16,16,148361,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial17,-0.151686576610067,False
17,17,17,17,17,17,17,17,148362,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial18,-0.724248472146895,True
18,18,18,18,18,18,18,18,148363,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial19,-0.186670474352121,False
19,19,19,19,19,19,19,19,148364,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial20,-0.3402815157551049,True
20,20,20,20,20,20,20,20,148365,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial21,-0.262641461847933,False
21,21,21,21,21,21,21,21,148366,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial22,-0.148623698671785,False
22,22,22,22,22,22,22,22,148367,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial23,-0.8125431853101541,True
23,23,23,23,23,23,23,23,148368,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial24,-0.27067181962055,False
24,24,24,24,24,24,24,24,148369,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial25,-0.374607091753024,True
25,25,25,25,25,25,25,25,148370,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial26,-0.0998413668466931,False
26,26,26,26,26,26,26,26,148371,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial27,-0.10259145394659,False
27,27,27,27,27,27,27,27,148372,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial28,-0.4118524798050279,True
28,28,28,28,28,28,28,28,148373,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial29,-0.395516711243277,True
29,29,29,29,29,29,29,29,148374,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial30,-0.471497942878755,True
30,30,30,30,30,30,30,30,148375,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial31,-0.22846445646871,False
31,31,31,31,31,31,31,31,148376,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial32,-0.196798881927085,False
32,32,32,32,32,32,32,32,148377,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial33,-0.2320561106293169,False
33,33,33,33,33,33,33,33,148378,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial34,-0.25855413914741,False
34,34,34,34,34,34,34,34,148379,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial35,-0.250877261364841,False
35,35,35,35,35,35,35,35,148380,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial36,-0.139636938562064,False
36,36,36,36,36,36,36,36,148381,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial37,-0.889001573022306,True
37,37,37,37,37,37,37,37,148382,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial38,-0.326251315704276,True
38,38,38,38,38,38,38,38,148383,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial39,-0.3546337142226269,True
39,39,39,39,39,39,39,39,148384,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial40,-0.344909666993394,True
40,40,40,40,40,40,40,40,148385,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial41,-0.2665085813496239,False
41,41,41,41,41,41,41,41,148386,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial42,-0.2665085813496239,False
42,42,42,42,42,42,42,42,148387,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial43,-0.330870168778143,True
43,43,43,43,43,43,43,43,148388,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial44,-0.254756898322942,False
