,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,146748,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial1,0.137341271677953,False
1,1,1,1,146749,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial2,-0.0327464611658637,False
2,2,2,2,146750,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial3,-0.241348849822034,False
3,3,3,3,146751,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial4,-0.0173521336756011,False
4,4,4,4,146752,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial5,-0.039514823848362,False
5,5,5,5,146753,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial6,-0.0825020879672942,False
6,6,6,6,146754,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial7,-0.0109180236701909,False
7,7,7,7,146755,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial8,-0.295221840725686,True
8,8,8,8,146756,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial9,0.0057876698326615,False
9,9,9,9,146757,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial10,-0.183827623939683,False
10,10,10,10,146758,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial11,-0.26746974761267,False
11,11,11,11,146759,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial12,-0.203276895440326,False
12,12,12,12,146760,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial13,-0.105704343048392,False
13,13,13,13,146761,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial14,-0.0875520807039361,False
14,14,14,14,146762,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial15,-0.234188360421341,False
15,15,15,15,146763,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial16,-0.32491299649854,True
16,16,16,16,146764,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial17,-0.196696550129004,False
17,17,17,17,146765,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial18,-0.121891104141667,False
18,18,18,18,146766,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial19,-0.147361922683816,False
19,19,19,19,146767,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial20,-0.283121693155466,True
20,20,20,20,146768,MAM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run4,Trial21,-0.0045778456391718,False
