,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
144559,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial1,0.121658218591182
144560,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial2,-0.0191964454915086
144561,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial3,0.000317740026735791
144562,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial4,-0.126217430006935
144563,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial5,-0.0817285136823886
144564,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial6,-0.136972964635509
144565,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial7,-0.0610886068196854
144566,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial8,-0.0258953802716992
144567,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial9,-0.107467544216858
144568,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial10,-0.0520395332731258
144569,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial11,-0.195262745811405
144570,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial12,-0.0592508720354612
144571,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial13,-0.0242256635078428
144572,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial14,-0.175753633841516
144573,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial15,-0.126217430006935
144574,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial16,-0.205388031451516
144575,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial17,-0.0684810318037705
144576,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial18,0.385024316767326
144577,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial19,-0.13266250263744
144578,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial20,0.0339850631483736
144579,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial21,-0.0538289206073506
144580,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial22,0.0665833385713697
144581,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial23,0.0760397266441206
144582,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial24,0.0981828038454009
144583,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial25,0.0665833385713697
144584,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial26,0.045598509037776
144585,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial27,-0.128362309260378
144586,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial28,-0.0396463265943412
144587,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial29,-0.0760204357285299
144588,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial30,-0.0378969441577519
144589,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial31,0.0879095139817752
144590,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial32,-0.0449018457264101
144591,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial33,0.0720256625168192
144592,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial34,-0.0647690905580531
144593,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial35,0.0113210785124296
144594,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial36,-0.00930129358414256
144595,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial37,-0.089483978379151
144596,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial38,-0.00932569146521445
144597,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial39,-0.089483978379151
144598,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial40,0.114385283358539
144599,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial41,0.0159571556741018
144600,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial42,-0.107467544216858
144601,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial43,-0.0378969441577519
144602,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial44,-0.121980273716766
144603,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial45,0.0190155263133232
144604,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial46,-0.00448927394949061
144605,MMD_Vertex_PATIENT,PATIENT,Block2,FIXED,VERTEX,Run16,Trial47,-0.0125910788929815
