,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,26258,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial1,0.109713996406108,False
1,1,1,1,26259,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial2,-0.239408246847484,False
2,2,2,2,26260,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial3,-0.19275223263621,False
3,3,3,3,26261,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial4,-0.15053790257244,False
4,4,4,4,26262,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial5,-0.218305498758099,False
5,5,5,5,26263,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial6,-0.0963737241214928,False
6,6,6,6,26264,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial7,-0.201104038403067,False
7,7,7,7,26265,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial8,-0.138152157193526,False
8,8,8,8,26266,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial9,0.0601174901126575,False
9,9,9,9,26267,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial10,0.0870891555971118,False
10,10,10,10,26268,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial11,-0.0287515927348538,False
11,11,11,11,26269,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial12,-0.248717470982255,False
12,12,12,12,26270,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial13,-0.198264859213201,False
13,13,13,13,26271,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial14,-0.138152157193526,False
14,14,14,14,26272,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial15,-0.305811187067042,True
15,15,15,15,26273,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial16,-0.248717470982255,False
16,16,16,16,26274,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial17,-0.198264859213201,False
17,17,17,17,26275,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial18,-0.0832559379333269,False
18,18,18,18,26276,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial19,-0.2551055517817,False
19,19,19,19,26277,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial20,-0.0212406363574731,False
20,20,20,20,26278,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial21,-0.21545401209308,False
21,21,21,21,26279,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial22,-0.264663289786732,False
22,22,22,22,26280,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial23,-0.109842956430663,False
23,23,23,23,26281,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial24,0.121955154846745,False
24,24,24,24,26282,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial25,-0.21545401209308,False
25,25,25,25,26283,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial26,-0.15061321810796,False
26,26,26,26,26284,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial27,-0.242421992646205,False
27,27,27,27,26285,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial28,-0.19265541385292,False
28,28,28,28,26286,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial29,-0.171165258115635,False
29,29,29,29,26287,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial30,-0.0789451015341727,False
30,30,30,30,26288,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial31,0.197973870231767,False
31,31,31,31,26289,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial32,0.238779541882839,False
32,32,32,32,26290,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial33,0.0145067976632736,False
33,33,33,33,26291,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial34,0.106975529722527,False
34,34,34,34,26292,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial35,-0.032532438044897,False
35,35,35,35,26293,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial36,-0.0726262119265741,False
36,36,36,36,26294,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial37,-0.013848211373388,False
37,37,37,37,26295,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial38,0.108326175117435,False
38,38,38,38,26296,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial39,-0.081089822693591,False
39,39,39,39,26297,MTG_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial40,-0.160697004010719,False
