,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
25600,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial1,0.131580236639964
25601,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial2,-0.0918991638405964
25602,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial3,0.00420847136066449
25603,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial4,-0.031376510113855
25604,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial5,0.0415901989819969
25605,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial6,-0.0939333813909786
25606,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial7,0.0264035299011693
25607,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial8,0.109169740307826
25608,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial9,-0.0475544439938065
25609,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial10,-0.0261034429081741
25610,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial11,-0.249116521591636
25611,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial12,-0.0191736860180036
25612,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial13,-0.373084767333729
25613,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial14,-0.0512349277321742
25614,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial15,0.0370821578551142
25615,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial16,-0.152778171360061
25616,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial17,0.274049229547666
25617,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial18,0.0868997323271925
25618,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial19,0.0548257028967991
25619,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial20,0.131580236639964
25620,MTG_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial21,-0.354135488247576
