,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,68405,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial1,0.051225794955299,False
1,1,1,1,1,1,1,1,68406,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial2,-0.16210174047687,False
2,2,2,2,2,2,2,2,68407,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial3,-0.16679673479104,False
3,3,3,3,3,3,3,3,68408,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial4,-0.150570254537216,False
4,4,4,4,4,4,4,4,68409,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial5,-0.0872439112137724,False
5,5,5,5,5,5,5,5,68410,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial6,-0.16210174047687,False
6,6,6,6,6,6,6,6,68411,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial7,-0.18368989893563,False
7,7,7,7,7,7,7,7,68412,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial8,-0.0971625549731359,False
8,8,8,8,8,8,8,8,68413,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial9,-0.137182178923847,False
9,9,9,9,9,9,9,9,68414,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial10,-0.107343903823027,False
10,10,10,10,10,10,10,10,68415,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial11,-0.128419498489278,False
11,11,11,11,11,11,11,11,68416,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial12,0.0124184367973563,False
12,12,12,12,12,12,12,12,68417,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial13,-0.146046548391126,False
13,13,13,13,13,13,13,13,68418,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial14,0.0139856271383691,False
