,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
69136,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial1,0.36095895445032
69137,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial2,0.0866941316223202
69138,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial3,-0.0758948042606344
69139,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial4,-0.0634549632372257
69140,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial5,-0.0865245302673872
69141,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial6,-0.146364819990078
69142,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial7,-0.0134399926488715
69143,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial8,-0.179610940838055
69144,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial9,-0.15881824761937
69145,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial10,-0.182296521881612
69146,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial11,-0.18509322666197
69147,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial12,0.0313561408169694
69148,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial13,-0.065519046115202
69149,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial14,-0.124693421314539
69150,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial15,-0.233472499330432
69151,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial16,-0.0908134398723259
69152,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial17,-0.000930042614172955
69153,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial18,-0.104063419787326
69154,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial19,-0.0574013455699682
69155,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial20,-0.174433850449696
69156,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial21,-0.1538064949065
69157,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial22,-0.082213693868233
69158,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial23,-0.161377909928427
69159,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial24,-0.0886258810655565
69160,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial25,-0.215788367385881
69161,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial26,-0.113111548764723
69162,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial27,0.14089559718254
69163,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial28,-0.134186574848368
69164,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial29,-0.0494424688953461
69165,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial30,0.0180510746669937
69166,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial31,-0.115414834968294
69167,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial32,-0.0207695674061119
69168,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial33,0.016391779891165
69169,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial34,0.333233460746565
69170,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial35,-0.177021301669854
69171,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial36,-0.082213693868233
69172,MTG_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial37,0.0313561408169694
