,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,110494,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial1,0.0922348932574804,False
1,1,1,1,1,1,1,1,110495,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial2,-0.1537313269698809,False
2,2,2,2,2,2,2,2,110496,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial3,0.0278297211316714,False
3,3,3,3,3,3,3,3,110497,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial4,0.0503783154643345,False
4,4,4,4,4,4,4,4,110498,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial5,-0.1237687929328919,False
5,5,5,5,5,5,5,5,110499,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial6,-0.0076062456155807,False
6,6,6,6,6,6,6,6,110500,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial7,-0.095740672506444,False
7,7,7,7,7,7,7,7,110501,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial8,-0.0226273300884703,False
8,8,8,8,8,8,8,8,110502,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial9,-0.0832464262492141,False
9,9,9,9,9,9,9,9,110503,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial10,-0.104893099653773,False
10,10,10,10,10,10,10,10,110504,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial11,-0.0181017641025689,False
11,11,11,11,11,11,11,11,110505,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial12,-0.137504468320905,False
12,12,12,12,12,12,12,12,110506,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial13,-0.1123395818216379,False
13,13,13,13,13,13,13,13,110507,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial14,0.0754951356461309,False
14,14,14,14,14,14,14,14,110508,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial15,-0.185948622645968,False
15,15,15,15,15,15,15,15,110509,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial16,-0.0797703356900614,False
16,16,16,16,16,16,16,16,110510,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial17,-0.0445891553505833,False
17,17,17,17,17,17,17,17,110511,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial18,-0.108605040899491,False
18,18,18,18,18,18,18,18,110512,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial19,0.1049754124058209,False
19,19,19,19,19,19,19,19,110513,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial20,0.0555307282960205,False
20,20,20,20,20,20,20,20,110514,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial21,-0.0090933415714,False
21,21,21,21,21,21,21,21,110515,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial22,-0.0560052134357516,False
22,22,22,22,22,22,22,22,110516,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial23,-0.0921635423688461,False
23,23,23,23,23,23,23,23,110517,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial24,0.181104456783995,False
24,24,24,24,24,24,24,24,110518,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial25,-0.206471367500976,False
25,25,25,25,25,25,25,25,110519,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial26,0.0412283357542207,False
26,26,26,26,26,26,26,26,110520,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial27,-0.0921366230112879,False
27,27,27,27,27,27,27,27,110521,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial28,-0.1621042828124859,False
28,28,28,28,28,28,28,28,110522,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial29,0.262022394604751,False
29,29,29,29,29,29,29,29,110523,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial30,-0.118035639031283,False
30,30,30,30,30,30,30,30,110524,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial31,0.159527811416817,False
31,31,31,31,31,31,31,31,110525,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial32,0.250770321139007,False
32,32,32,32,32,32,32,32,110526,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial33,0.3578265966964379,False
33,33,33,33,33,33,33,33,110527,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial34,-0.0090933415714,False
34,34,34,34,34,34,34,34,110528,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial35,0.0054744999420557,False
35,35,35,35,35,35,35,35,110529,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial36,-0.0797703356900614,False
36,36,36,36,36,36,36,36,110530,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial37,-0.086777151617345,False
37,37,37,37,37,37,37,37,110531,MTG_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial38,0.346867214072581,False
