,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,149391,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial1,0.0356325043522072,False
1,1,1,1,149392,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial2,-0.146549799265098,False
2,2,2,2,149393,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial3,-0.0371686450576418,False
3,3,3,3,149394,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial4,0.0261400543397214,False
4,4,4,4,149395,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial5,-0.128566233427391,False
5,5,5,5,149396,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial6,-0.0752627893106737,False
6,6,6,6,149397,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial7,-0.142490847951539,False
7,7,7,7,149398,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial8,-0.100170861867926,False
8,8,8,8,149399,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial9,0.0093735118287274,False
9,9,9,9,149400,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial10,-0.134485008550233,False
10,10,10,10,149401,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial11,-0.156834993874765,False
11,11,11,11,149402,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial12,-0.0839841007746505,False
12,12,12,12,149403,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial13,-0.091094868963808,False
13,13,13,13,149404,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial14,0.0591005487971605,False
14,14,14,14,149405,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial15,-0.0308744119599536,False
15,15,15,15,149406,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial16,-0.0516733339412219,False
16,16,16,16,149407,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial17,-0.0875204821533941,False
17,17,17,17,149408,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial18,-0.0262051603818803,False
18,18,18,18,149409,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial19,0.0753030283102989,False
19,19,19,19,149410,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial20,0.112786146064817,False
20,20,20,20,149411,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial21,-0.0769791992059923,False
21,21,21,21,149412,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial22,0.107149839479225,False
22,22,22,22,149413,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial23,0.181183787645676,False
23,23,23,23,149414,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial24,0.0475380673088033,False
24,24,24,24,149415,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial25,-0.0700854912580917,False
25,25,25,25,149416,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial26,-0.0929111756555909,False
26,26,26,26,149417,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial27,-0.115074243229392,False
27,27,27,27,149418,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial28,-0.187117477947804,False
28,28,28,28,149419,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial29,-0.0533317318683268,False
29,29,29,29,149420,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial30,0.131467532131021,False
30,30,30,30,149421,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial31,0.0641506149375806,False
31,31,31,31,149422,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial32,0.222310134881688,False
32,32,32,32,149423,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run14,Trial33,-0.0095512297829891,False
