,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,149580,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial1,-0.0095512297829891,False
1,1,1,1,1,1,1,1,149581,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial2,-0.0840370667460442,False
2,2,2,2,2,2,2,2,149582,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial3,-0.152720594326138,False
3,3,3,3,3,3,3,3,149583,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial4,-0.1246711895438669,False
4,4,4,4,4,4,4,4,149584,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial5,-0.163133570339798,False
5,5,5,5,5,5,5,5,149585,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial6,-0.091094868963808,False
6,6,6,6,6,6,6,6,149586,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial7,-0.193863103294526,False
7,7,7,7,7,7,7,7,149587,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial8,-0.100170861867926,False
8,8,8,8,8,8,8,8,149588,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial9,-0.0787285816425816,False
9,9,9,9,9,9,9,9,149589,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial10,-0.196165606925201,False
10,10,10,10,10,10,10,10,149590,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial11,0.131451407236117,False
11,11,11,11,11,11,11,11,149591,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial12,-0.152658553734346,False
12,12,12,12,12,12,12,12,149592,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial13,-0.0822046722017342,False
13,13,13,13,13,13,13,13,149593,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial14,0.012226240741589,False
14,14,14,14,14,14,14,14,149594,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial15,0.0036400734618427,False
15,15,15,15,15,15,15,15,149595,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial16,0.167540365929523,False
16,16,16,16,16,16,16,16,149596,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial17,-0.11891248302183,False
17,17,17,17,17,17,17,17,149597,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial18,0.0716111175134255,False
18,18,18,18,18,18,18,18,149598,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial19,-0.668773164475972,True
19,19,19,19,19,19,19,19,149599,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial20,-0.555788794017416,True
20,20,20,20,20,20,20,20,149600,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial21,0.2257974859998649,False
21,21,21,21,21,21,21,21,149601,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial22,-0.0804937956576404,False
22,22,22,22,22,22,22,22,149602,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial23,-0.034010125812812,False
23,23,23,23,23,23,23,23,149603,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial24,0.0065377535389776,False
24,24,24,24,24,24,24,24,149604,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial25,-0.0947260621468384,False
25,25,25,25,25,25,25,25,149605,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial26,0.0150673803123498,False
26,26,26,26,26,26,26,26,149606,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial27,-0.0065644915681009,False
27,27,27,27,27,27,27,27,149607,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial28,-0.1246711895438669,False
28,28,28,28,28,28,28,28,149608,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial29,0.0050877350791207,False
29,29,29,29,29,29,29,29,149609,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial30,0.0288714751791512,False
30,30,30,30,30,30,30,30,149610,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial31,-0.138439460920034,False
31,31,31,31,31,31,31,31,149611,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial32,0.0383250352058928,False
32,32,32,32,32,32,32,32,149612,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial33,0.40014205551367,False
