,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
149709,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial1,0.0800165907093842
149710,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial2,-0.0857439309325199
149711,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial3,-0.139341776674632
149712,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial4,-0.0821814354294932
149713,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial5,-0.135323603228468
149714,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial6,-0.125329282332753
149715,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial7,-0.164512694502963
149716,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial8,-0.104158784296688
149717,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial9,-0.0663772740048341
149718,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial10,-0.20288693678883
149719,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial11,-0.106005245179062
149720,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial12,-0.17777303414163
149721,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial13,-0.219778696793152
149722,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial14,0.0151001909210602
149723,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial15,-0.0561406738330121
149724,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial16,-0.0785947420335598
149725,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial17,-0.182138402028474
149726,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial18,-0.224664283649582
149727,MTG_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial19,0.0236097306793139
