,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,28267,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial1,0.171380216894641,False
1,1,1,1,28268,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial2,0.102622266022836,False
2,2,2,2,28269,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial3,-0.0774259460322018,False
3,3,3,3,28270,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial4,-0.141966003075059,False
4,4,4,4,28271,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial5,-0.188929956164099,False
5,5,5,5,28272,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial6,-0.0088198769644867,False
6,6,6,6,28273,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial7,-0.0679327924983726,False
7,7,7,7,28274,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial8,-0.179753298580048,False
8,8,8,8,28275,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial9,-0.179753298580048,False
9,9,9,9,28276,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial10,-0.322288378964339,True
10,10,10,10,28277,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial11,-0.0149270664483767,False
11,11,11,11,28278,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial12,-0.136392463440985,False
12,12,12,12,28279,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial13,-0.26318571053758,False
13,13,13,13,28280,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial14,-0.0541166318967399,False
14,14,14,14,28281,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial15,-0.297757717333296,True
15,15,15,15,28282,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial16,-0.094530313883002,False
16,16,16,16,28283,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial17,-0.0970458660903342,False
17,17,17,17,28284,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial18,-0.0428816876393872,False
18,18,18,18,28285,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial19,-0.19522543450015,False
19,19,19,19,28286,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial20,-0.305619284395039,True
20,20,20,20,28287,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial21,-0.141966003075059,False
21,21,21,21,28288,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial22,0.0663218699728354,False
22,22,22,22,28289,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial23,-0.201613515299595,False
23,23,23,23,28290,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial24,-0.176711870514267,False
24,24,24,24,28291,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial25,-0.255941370834176,False
25,25,25,25,28292,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial26,-0.15037051428042,False
26,26,26,26,28293,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial27,-0.198399804197796,False
27,27,27,27,28294,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial28,-0.170766538470327,False
28,28,28,28,28295,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial29,-0.19522543450015,False
29,29,29,29,28296,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial30,-0.343922763233513,True
30,30,30,30,28297,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial31,-0.214563492038967,False
31,31,31,31,28298,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial32,-0.23819450789333,False
32,32,32,32,28299,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial33,-0.234716742217745,False
33,33,33,33,28300,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial34,-0.234716742217745,False
34,34,34,34,28301,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial35,-0.395560309546983,True
35,35,35,35,28302,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial36,-0.173766471042843,False
36,36,36,36,28303,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial37,-0.348399950768879,True
37,37,37,37,28304,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial38,-0.241700347966493,False
38,38,38,38,28305,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial39,-0.211269207101426,False
39,39,39,39,28306,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial40,-0.496255430164131,True
40,40,40,40,28307,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial41,-0.176802351673364,False
41,41,41,41,28308,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial42,-0.318050302562103,True
42,42,42,42,28309,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial43,-0.278256817335495,True
43,43,43,43,28310,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial44,-0.217800074260384,False
44,44,44,44,28311,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial45,0.130263457193654,False
45,45,45,45,28312,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial46,-0.094530313883002,False
46,46,46,46,28313,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial47,-0.040660340704513,False
47,47,47,47,28314,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial48,-0.167772414483275,False
48,48,48,48,28315,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial49,-0.167772414483275,False
49,49,49,49,28316,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial50,-0.459985355438818,True
50,50,50,50,28317,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial51,-0.114957191156993,False
51,51,51,51,28318,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial52,-0.266900099958542,False
52,52,52,52,28319,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial53,-0.293771061756195,True
53,53,53,53,28320,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial54,-0.352788051209321,True
54,54,54,54,28321,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial55,-0.465843457939974,True
55,55,55,55,28322,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial56,-0.297638181257886,True
56,56,56,56,28323,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial57,-0.490161613763187,True
57,57,57,57,28324,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial58,-0.385763314130889,True
58,58,58,58,28325,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial59,-0.335082806720141,True
59,59,59,59,28326,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial60,-0.496255430164131,True
60,60,60,60,28327,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial61,-0.318050302562103,True
61,61,61,61,28328,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial62,-0.42129066851767,True
62,62,62,62,28329,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial63,-0.23819450789333,False
63,63,63,63,28330,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial64,-0.0212478417883628,False
64,64,64,64,28331,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial65,-0.274444446927372,False
65,65,65,65,28332,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial66,-0.297638181257886,True
66,66,66,66,28333,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial67,-0.44298207971329,True
67,67,67,67,28334,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial68,-0.313873862421684,True
68,68,68,68,28335,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial69,-0.339469326303837,True
69,69,69,69,28336,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial70,-0.405583420270282,True
70,70,70,70,28337,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial71,-0.395560309546983,True
71,71,71,71,28338,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial72,-0.385763314130889,True
72,72,72,72,28339,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial73,-0.371411115663367,True
73,73,73,73,28340,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial74,-0.400606069657819,True
74,74,74,74,28341,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial75,-0.431933111327214,True
75,75,75,75,28342,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial76,-0.339469326303837,True
76,76,76,76,28343,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial77,-0.405583420270282,True
77,77,77,77,28344,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial78,-0.437422459104966,True
78,78,78,78,28345,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial79,-0.380886139603511,True
79,79,79,79,28346,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial80,-0.410902794350721,True
80,80,80,80,28347,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial81,-0.357380915612539,True
81,81,81,81,28348,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial82,-0.47178166078093,True
82,82,82,82,28349,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial83,-0.454176655634301,True
83,83,83,83,28350,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial84,-0.437422459104966,True
