,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,28769,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial1,-0.405736691661287,True
1,1,1,1,1,1,1,1,28770,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial2,-0.176711870514267,False
2,2,2,2,2,2,2,2,28771,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial3,0.112053510440833,False
3,3,3,3,3,3,3,3,28772,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial4,-0.0275977862114853,False
4,4,4,4,4,4,4,4,28773,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial5,-0.282006861273104,True
5,5,5,5,5,5,5,5,28774,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial6,-0.221144465281846,False
6,6,6,6,6,6,6,6,28775,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial7,-0.509126959194041,True
7,7,7,7,7,7,7,7,28776,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial8,0.108916841228979,False
8,8,8,8,8,8,8,8,28777,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial9,-0.2821221708981469,True
9,9,9,9,9,9,9,9,28778,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial10,-0.170766538470327,False
10,10,10,10,10,10,10,10,28779,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial11,-0.2212446947957689,False
11,11,11,11,11,11,11,11,28780,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial12,-0.4599853554388179,True
12,12,12,12,12,12,12,12,28781,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial13,-0.18281617651833,False
13,13,13,13,13,13,13,13,28782,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial14,-0.263296129068257,False
14,14,14,14,14,14,14,14,28783,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial15,-0.0362405327071063,False
15,15,15,15,15,15,15,15,28784,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial16,-0.185823810560363,False
16,16,16,16,16,16,16,16,28785,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial17,-0.4962554301641311,True
17,17,17,17,17,17,17,17,28786,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial18,-0.153232361891053,False
18,18,18,18,18,18,18,18,28787,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial19,-0.255941370834176,False
19,19,19,19,19,19,19,19,28788,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial20,-0.282006861273104,True
20,20,20,20,20,20,20,20,28789,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial21,-0.343789822724776,True
21,21,21,21,21,21,21,21,28790,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial22,-0.454176655634301,True
22,22,22,22,22,22,22,22,28791,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial23,-0.1561275736082169,False
23,23,23,23,23,23,23,23,28792,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial24,-0.25948457497261,False
24,24,24,24,24,24,24,24,28793,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial25,-0.318050302562103,True
25,25,25,25,25,25,25,25,28794,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial26,-0.343922763233513,True
26,26,26,26,26,26,26,26,28795,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial27,-0.502435970449591,True
27,27,27,27,27,27,27,27,28796,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial28,-0.25948457497261,False
28,28,28,28,28,28,28,28,28797,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial29,-0.318050302562103,True
29,29,29,29,29,29,29,29,28798,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial30,-0.4212906685176699,True
30,30,30,30,30,30,30,30,28799,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial31,-0.301680765414437,True
31,31,31,31,31,31,31,31,28800,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial32,-0.542642789554436,True
32,32,32,32,32,32,32,32,28801,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial33,-0.107204967528614,False
33,33,33,33,33,33,33,33,28802,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial34,-0.285886498231205,True
34,34,34,34,34,34,34,34,28803,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial35,-0.2782568173354949,True
35,35,35,35,35,35,35,35,28804,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial36,-0.305741037825022,True
36,36,36,36,36,36,36,36,28805,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial37,-0.448641997584942,True
37,37,37,37,37,37,37,37,28806,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial38,-0.231249508350554,False
38,38,38,38,38,38,38,38,28807,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial39,-0.3907205632605421,True
39,39,39,39,39,39,39,39,28808,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial40,-0.376039266901657,True
40,40,40,40,40,40,40,40,28809,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial41,-0.330718652727332,True
41,41,41,41,41,41,41,41,28810,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial42,-0.483754429517765,True
42,42,42,42,42,42,42,42,28811,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial43,-0.278142529313282,True
43,43,43,43,43,43,43,43,28812,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial44,-0.460159084815854,True
44,44,44,44,44,44,44,44,28813,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial45,-0.400606069657819,True
45,45,45,45,45,45,45,45,28814,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial46,-0.528958477499328,True
46,46,46,46,46,46,46,46,28815,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial47,-0.410902794350721,True
47,47,47,47,47,47,47,47,28816,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial48,-0.3619997686864061,True
48,48,48,48,48,48,48,48,28817,RID_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial49,-0.477832347337345,True
