,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
69486,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial1,0.293952017432012
69487,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial2,-0.214203471027619
69488,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial3,-0.265374089455415
69489,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial4,-0.207816672366218
69490,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial5,-0.261751869206175
69491,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial6,-0.287632388186152
69492,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial7,-0.25111555436039
69493,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial8,-0.148623756299171
69494,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial9,-0.223946858079774
69495,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial10,-0.247627226514569
69496,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial11,-0.335958357227704
69497,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial12,-0.265337898248569
69498,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial13,-0.159845808705026
69499,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial14,-0.327524780268172
69500,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial15,-0.204658153121389
69501,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial16,-0.315153461837415
69502,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial17,-0.280060531109398
69503,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial18,-0.220669272002206
69504,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial19,-0.148637587113392
69505,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial20,-0.0868586646534406
69506,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial21,-0.198409203844387
69507,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial22,-0.280097970288895
69508,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial23,-0.307110741582002
69509,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial24,-0.335915779337287
69510,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial25,-0.295319216852444
69511,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial26,-0.353311163830131
69512,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial27,-0.311113484035676
69513,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial28,-0.34019436654531
69514,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial29,-0.405017986904007
69515,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial30,-0.291458796039206
69516,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial31,-0.315153461837415
69517,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial32,-0.311113484035676
69518,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial33,-0.272636830297813
69519,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial34,-0.366813634233778
69520,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial35,-0.261751869206175
69521,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial36,-0.390270603282266
69522,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial37,-0.25111555436039
69523,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial38,-0.276369937766291
69524,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial39,-0.335915779337287
69525,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial40,-0.265374089455415
69526,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial41,-0.35776550525638
69527,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial42,-0.283839399169013
69528,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial43,-0.280060531109398
69529,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial44,-0.340215865739983
69530,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial45,-0.299214260735968
69531,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial46,-0.362266006483057
69532,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial47,-0.283839399169013
69533,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial48,-0.280097970288895
69534,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial49,-0.340215865739983
69535,RID_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial50,-0.269008526180766
