,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
112569,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial1,0.120366911306856
112570,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial2,-0.20763835240292
112571,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial3,0.0209354288698971
112572,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial4,-0.125913363767434
112573,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial5,-0.0890186977330516
112574,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial6,-0.11072523763483
112575,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial7,-0.180670371849795
112576,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial8,-0.13638161787235
112577,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial9,0.035344303981192
112578,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial10,-0.0506384669478579
112579,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial11,-0.133744074350588
112580,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial12,-0.155183318048188
112581,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial13,0.00597515055015485
112582,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial14,0.096405389059782
112583,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial15,-0.115754262329155
112584,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial16,-0.0984800975472679
112585,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial17,-0.166320398159782
112586,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial18,-0.0660111872099809
112587,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial19,0.0263802285909844
112588,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial20,-0.13630265284618
112589,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial21,-0.0441614612908876
112590,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial22,-0.166320398159782
112591,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial23,-0.0660111872099809
112592,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial24,0.0263802285909844
112593,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial25,-0.0985524759400644
112594,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial26,-0.100923494292753
112595,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial27,-0.21393383073897
112596,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial28,-0.0153863072115592
112597,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial29,0.104046280682734
112598,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial30,-0.0843583497597873
112599,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial31,0.0406650307030572
112600,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial32,-0.138969069092509
112601,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial33,-0.044225329691979
112602,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial34,-0.00167865665230682
112603,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial35,-0.0937295981519335
112604,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial36,-0.115754262329155
112605,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial37,-0.118297095255752
112606,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial38,0.0594365396472956
112607,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial39,-0.113238710121823
112608,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial40,-0.0593687369433336
112609,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial41,-0.1416386348572
112610,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial42,-0.1009962810776
112611,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial43,-0.105839650778401
112612,RID_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial44,-0.0358017841706451
