,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,29689,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial1,0.0585087804451052,False
1,1,1,1,29690,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial2,-0.211702249380387,False
2,2,2,2,29691,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial3,-0.108362506079426,False
3,3,3,3,29692,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial4,-0.0550590619627087,False
4,4,4,4,29693,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial5,-0.214141273511681,False
5,5,5,5,29694,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial6,-0.0929687625541682,False
6,6,6,6,29695,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial7,-0.340805536776028,True
7,7,7,7,29696,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial8,-0.182885486300734,False
8,8,8,8,29697,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial9,-0.206742214168258,False
9,9,9,9,29698,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial10,-0.272843321519731,False
10,10,10,10,29699,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial11,-0.229406198804202,False
11,11,11,11,29700,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial12,-0.409353377876717,True
12,12,12,12,29701,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial13,-0.1366312665268,False
13,13,13,13,29702,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial14,-0.175961879577236,False
14,14,14,14,29703,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial15,-0.162426173622746,False
15,15,15,15,29704,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial16,-0.204271080340099,False
16,16,16,16,29705,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial17,-0.269981473909099,False
17,17,17,17,29706,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial18,-0.0314941899955432,False
18,18,18,18,29707,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial19,0.044985345367146,False
19,19,19,19,29708,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial20,-0.0781293997357366,False
20,20,20,20,29709,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial21,-0.224304880943828,False
21,21,21,21,29710,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial22,-0.206742214168258,False
22,22,22,22,29711,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial23,-0.229406198804202,False
23,23,23,23,29712,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial24,-0.0347597320403068,False
24,24,24,24,29713,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial25,0.0855952203183472,False
25,25,25,25,29714,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial26,-0.221744768218675,False
26,26,26,26,29715,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial27,-0.368320053405815,True
27,27,27,27,29716,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial28,-0.116219145222583,False
28,28,28,28,29717,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial29,-0.0891806991861372,False
29,29,29,29,29718,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial30,-0.239871632482367,False
30,30,30,30,29719,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial31,-0.114221791523817,False
31,31,31,31,29720,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial32,-0.18992126112291,False
32,32,32,32,29721,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial33,0.100354772695625,False
33,33,33,33,29722,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial34,0.013639235779864,False
34,34,34,34,29723,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial35,-0.0201385932147948,False
35,35,35,35,29724,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial36,-0.0550331078506936,False
36,36,36,36,29725,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial37,-0.232025015818724,False
37,37,37,37,29726,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial38,0.0690114816003176,False
38,38,38,38,29727,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial39,0.109956500500274,False
39,39,39,39,29728,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial40,0.118185151079998,False
40,40,40,40,29729,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial41,0.116975886001896,False
41,41,41,41,29730,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial42,-0.0532890896558431,False
42,42,42,42,29731,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial43,0.050441283588107,False
43,43,43,43,29732,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial44,-0.072707448307626,False
44,44,44,44,29733,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial45,0.152739542684603,False
45,45,45,45,29734,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial46,-0.069091335098582,False
46,46,46,46,29735,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial47,0.377163887778822,False
47,47,47,47,29736,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial48,0.0310059459515153,False
48,48,48,48,29737,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial49,-0.0532890896558431,False
49,49,49,49,29738,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial50,0.0380099959615312,False
50,50,50,50,29739,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial51,-0.134600364998009,False
51,51,51,51,29740,RJO_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial52,-0.10839185129258,False
