,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,30670,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial1,0.3113491294787029,False
1,1,1,1,1,1,1,1,30671,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial2,-0.142720197316864,False
2,2,2,2,2,2,2,2,30672,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial3,-0.3104067781254669,True
3,3,3,3,3,3,3,3,30673,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial4,-0.280028441858813,True
4,4,4,4,4,4,4,4,30674,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial5,-0.7474030239169109,True
5,5,5,5,5,5,5,5,30675,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial6,0.0604270940244285,False
6,6,6,6,6,6,6,6,30676,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial7,-0.400318772257785,True
7,7,7,7,7,7,7,7,30677,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial8,-0.1239515019978629,False
8,8,8,8,8,8,8,8,30678,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial9,-0.207332230905792,False
9,9,9,9,9,9,9,9,30679,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial10,-0.2100550016988289,False
10,10,10,10,10,10,10,10,30680,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial11,-0.2832657626393369,True
11,11,11,11,11,11,11,11,30681,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial12,-0.4367773434940999,True
12,12,12,12,12,12,12,12,30682,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial13,0.0177725222737148,False
13,13,13,13,13,13,13,13,30683,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial14,-0.114789694679384,False
14,14,14,14,14,14,14,14,30684,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial15,-0.543017631696853,True
15,15,15,15,15,15,15,15,30685,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial16,-0.233050022843852,False
16,16,16,16,16,16,16,16,30686,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial17,-0.371107265655755,True
17,17,17,17,17,17,17,17,30687,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial18,0.1411334539502459,False
18,18,18,18,18,18,18,18,30688,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial19,-0.142720197316864,False
19,19,19,19,19,19,19,19,30689,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial20,-0.40483555413457,True
20,20,20,20,20,20,20,20,30690,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial21,-0.303560735724063,True
21,21,21,21,21,21,21,21,30691,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial22,0.0908909451021533,False
22,22,22,22,22,22,22,22,30692,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial23,-0.0368211692137965,False
23,23,23,23,23,23,23,23,30693,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial24,-0.0908831612838914,False
24,24,24,24,24,24,24,24,30694,RJO_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial25,-0.2129782297516939,False
