,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
72865,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial1,0.0840309342466834
72866,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial2,-0.0656447956204258
72867,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial3,-0.00739318078334206
72868,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial4,-0.152782272855914
72869,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial5,-0.29944905037565
72870,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial6,-0.466739152461646
72871,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial7,-0.165682993691425
72872,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial8,-0.0740372206757254
72873,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial9,-0.325074359419564
72874,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial10,0.211915071087934
72875,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial11,-0.325074359419564
72876,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial12,-0.385834513351287
72877,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial13,-0.0240443637555829
72878,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial14,-0.360526189576972
72879,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial15,-0.321351812497749
72880,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial16,-0.600425650271211
72881,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial17,-0.47725244955952
72882,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial18,-0.42672582773175
72883,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial19,-0.417308133177544
72884,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial20,-0.408067476442632
72885,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial21,-0.522468221611024
72886,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial22,-0.499328558415036
72887,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial23,-0.372974939794432
72888,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial24,-0.47725244955952
72889,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial25,-0.461511795669598
72890,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial26,-0.493752161390188
72891,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial27,-0.477332871981633
72892,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial28,-0.42672582773175
72893,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial29,-0.493752161390188
72894,RJO_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial30,-0.336573059061298
