,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,72066,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial1,0.242597848318832,False
1,1,1,1,1,1,1,1,72067,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial2,-0.0719238613623263,False
2,2,2,2,2,2,2,2,72068,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial3,-0.0278562347310256,False
3,3,3,3,3,3,3,3,72069,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial4,0.024142041599815,False
4,4,4,4,4,4,4,4,72070,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial5,-0.0278562347310256,False
5,5,5,5,5,5,5,5,72071,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial6,-0.118619353328466,False
6,6,6,6,6,6,6,6,72072,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial7,-0.1402784139173299,False
7,7,7,7,7,7,7,7,72073,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial8,-0.0240632457138865,False
8,8,8,8,8,8,8,8,72074,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial9,-0.061508626433787,False
9,9,9,9,9,9,9,9,72075,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial10,-0.201099650913881,False
10,10,10,10,10,10,10,10,72076,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial11,0.140548195658365,False
11,11,11,11,11,11,11,11,72077,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial12,-0.0037740391566112,False
12,12,12,12,12,12,12,12,72078,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial13,0.0690537782770306,False
13,13,13,13,13,13,13,13,72079,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial14,0.0069058715281862,False
14,14,14,14,14,14,14,14,72080,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial15,-0.130518576628174,False
15,15,15,15,15,15,15,15,72081,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial16,-0.135371079422586,False
16,16,16,16,16,16,16,16,72082,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial17,-0.0493313478829499,False
17,17,17,17,17,17,17,17,72083,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial18,-0.0240632457138865,False
18,18,18,18,18,18,18,18,72084,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial19,-0.0147232194597433,False
19,19,19,19,19,19,19,19,72085,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial20,-0.142753033045185,False
20,20,20,20,20,20,20,20,72086,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial21,-0.125719693746405,False
21,21,21,21,21,21,21,21,72087,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial22,-0.0259555993915916,False
22,22,22,22,22,22,22,22,72088,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial23,-0.0804397122848557,False
23,23,23,23,23,23,23,23,72089,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run2,Trial24,-0.007393180783342,False
