,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,72124,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial1,0.122064789964351,False
1,1,1,1,72125,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial2,-0.113949475194981,False
2,2,2,2,72126,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial3,-0.176276067188849,False
3,3,3,3,72127,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial4,-0.100233772723706,False
4,4,4,4,72128,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial5,-0.0869380053217732,False
5,5,5,5,72129,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial6,-0.288881068723423,True
6,6,6,6,72130,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial7,-0.165682993691425,False
7,7,7,7,72131,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial8,-0.109329277558235,False
8,8,8,8,72132,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial9,-0.0761609143055808,False
9,9,9,9,72133,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial10,-0.118619353328466,False
10,10,10,10,72134,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial11,-0.336573059061298,True
11,11,11,11,72135,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial12,-0.137817815369673,False
12,12,12,12,72136,RJO_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial13,-0.0677277467687181,False
