,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,113586,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial1,0.0631261012937347,False
1,1,1,1,1,1,1,1,113587,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial2,-0.0151016987465673,False
2,2,2,2,2,2,2,2,113588,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial3,-0.191192957802249,False
3,3,3,3,3,3,3,3,113589,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial4,0.0741214855951977,False
4,4,4,4,4,4,4,4,113590,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial5,-0.283131434307623,True
5,5,5,5,5,5,5,5,113591,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial6,-0.0634063783211225,False
6,6,6,6,6,6,6,6,113592,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial7,-0.2086836899625839,False
7,7,7,7,7,7,7,7,113593,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial8,-0.347730680482251,True
8,8,8,8,8,8,8,8,113594,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial9,-0.137508098839473,False
9,9,9,9,9,9,9,9,113595,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial10,-0.283131434307623,True
10,10,10,10,10,10,10,10,113596,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial11,-0.1799119473925599,False
11,11,11,11,11,11,11,11,113597,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial12,-0.158192697699323,False
12,12,12,12,12,12,12,12,113598,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial13,-0.255765250091257,False
13,13,13,13,13,13,13,13,113599,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial14,0.0143532805917079,False
14,14,14,14,14,14,14,14,113600,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial15,0.0071746959645846,False
15,15,15,15,15,15,15,15,113601,RJO_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run3,Trial16,-0.202760158489023,False
