,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
115980,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial1,0.104690089181095
115981,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial2,-0.526464782617457
115982,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial3,-0.458621694750102
115983,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial4,-0.54010653091044
115984,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial5,-0.314256683440748
115985,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial6,-0.506901161145944
115986,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial7,-0.441531207680741
115987,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial8,-0.348063441083702
115988,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial9,-0.375684734022294
115989,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial10,-0.547336828548231
115990,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial11,-0.726435423373323
115991,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial12,-0.453084865549247
115992,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial13,-0.260214989193102
115993,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial14,0.0968004157118716
115994,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial15,-0.415176412709648
115995,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial16,-0.399983701840686
115996,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial17,-0.476055279139857
115997,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial18,-0.124534291212615
115998,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial19,-0.218935832387007
115999,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial20,-0.561226888876669
116000,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial21,-0.737535349478215
116001,RJO_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run36,Trial22,-0.339486726454753
