,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
155334,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial1,0.0860134602022273
155335,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial2,0.0495705123807171
155336,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial3,-0.321707381885655
155337,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial4,-0.349346698018433
155338,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial5,-0.0961577431386651
155339,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial6,-0.317097253841551
155340,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial7,-0.384210225467497
155341,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial8,-0.368718018363297
155342,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial9,-0.69610502174952
155343,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial10,-0.11256762727088
155344,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial11,-0.304026083844108
155345,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial12,-0.568088745635169
155346,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial13,-0.279048468941798
155347,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial14,0.0495705123807171
155348,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial15,-0.0805123986453893
155349,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial16,-0.36385525870793
155350,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial17,-0.229248801950952
155351,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial18,-0.156215369683953
155352,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial19,-0.299854360233915
155353,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial20,-0.240207531075318
155354,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial21,-0.123677945397196
155355,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial22,-0.291357733678879
155356,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial23,-0.0629856581725416
155357,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial24,-0.187969645144856
155358,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial25,-0.304026083844108
155359,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial26,-0.191206965925379
155360,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial27,-0.0161891187561629
155361,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial28,-0.0580407495836837
155362,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial29,-0.28730538358604
155363,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial30,-0.0435469256520329
155364,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial31,-0.118164318979966
155365,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial32,-0.349346698018433
155366,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial33,-0.168532865616926
155367,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial34,-0.201235912952123
155368,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial35,-0.287057238936739
155369,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial36,-0.0629856581725416
155370,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial37,-0.162237387280875
155371,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial38,-0.304026083844108
155372,RJO_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run35,Trial39,-0.244085019691914
