,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,31556,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial1,0.256200980529439,False
1,1,1,1,1,1,1,1,31557,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial2,-0.111745646473285,False
2,2,2,2,2,2,2,2,31558,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial3,-0.0448290151345421,False
3,3,3,3,3,3,3,3,31559,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial4,-0.0687548298138712,False
4,4,4,4,4,4,4,4,31560,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial5,-0.139820613644087,False
5,5,5,5,5,5,5,5,31561,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial6,-0.0687548298138712,False
6,6,6,6,6,6,6,6,31562,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial7,-0.292414691571557,True
7,7,7,7,7,7,7,7,31563,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial8,-0.159548586561156,False
8,8,8,8,8,8,8,8,31564,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial9,0.0330361533319441,False
9,9,9,9,9,9,9,9,31565,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial10,-0.194573088183911,False
10,10,10,10,10,10,10,10,31566,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial11,-0.325680301234116,True
11,11,11,11,11,11,11,11,31567,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial12,-0.311073042860675,True
12,12,12,12,12,12,12,12,31568,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial13,-0.232731721141942,False
13,13,13,13,13,13,13,13,31569,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial14,0.106447783933923,False
14,14,14,14,14,14,14,14,31570,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial15,-0.311073042860675,True
15,15,15,15,15,15,15,15,31571,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial16,-0.3016553483064699,True
16,16,16,16,16,16,16,16,31572,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial17,-0.330668966016875,True
17,17,17,17,17,17,17,17,31573,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial18,-0.400877233898993,True
18,18,18,18,18,18,18,18,31574,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial19,-0.3016553483064699,True
19,19,19,19,19,19,19,19,31575,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial20,-0.4187882054767829,True
20,20,20,20,20,20,20,20,31576,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial21,-0.278890063851413,True
21,21,21,21,21,21,21,21,31577,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial22,-0.306374073117231,True
22,22,22,22,22,22,22,22,31578,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial23,-0.3780158556723089,True
23,23,23,23,23,23,23,23,31579,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial24,-0.4573251735868989,True
24,24,24,24,24,24,24,24,31580,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial25,-0.345859010798523,True
25,25,25,25,25,25,25,25,31581,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial26,-0.3780158556723089,True
26,26,26,26,26,26,26,26,31582,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial27,-0.248969678972494,False
27,27,27,27,27,27,27,27,31583,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial28,-0.3510078829997909,True
28,28,28,28,28,28,28,28,31584,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial29,-0.4312892061231499,True
29,29,29,29,29,29,29,29,31585,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial30,-0.367048309868461,True
30,30,30,30,30,30,30,30,31586,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial31,-0.395105987399307,True
31,31,31,31,31,31,31,31,31587,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial32,-0.477781632523016,True
32,32,32,32,32,32,32,32,31588,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial33,-0.361680087110558,True
33,33,33,33,33,33,33,33,31589,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial34,-0.389296133514053,True
34,34,34,34,34,34,34,34,31590,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial35,-0.477781632523016,True
35,35,35,35,35,35,35,35,31591,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial36,-0.315919915562529,True
36,36,36,36,36,36,36,36,31592,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial37,-0.437565522014225,True
37,37,37,37,37,37,37,37,31593,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial38,-0.470763280958497,True
38,38,38,38,38,38,38,38,31594,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial39,-0.395019131397837,True
39,39,39,39,39,39,39,39,31595,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial40,-0.545780492633979,True
40,40,40,40,40,40,40,40,31596,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial41,-0.28336656259416,True
41,41,41,41,41,41,41,41,31597,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial42,-0.49924948216058,True
42,42,42,42,42,42,42,42,31598,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial43,-0.4188799481413301,True
43,43,43,43,43,43,43,43,31599,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial44,-0.400965269538722,True
44,44,44,44,44,44,44,44,31600,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial45,-0.484879663502704,True
45,45,45,45,45,45,45,45,31601,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial46,-0.412775642137266,True
46,46,46,46,46,46,46,46,31602,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial47,-0.49924948216058,True
47,47,47,47,47,47,47,47,31603,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial48,-0.5377445370374361,True
48,48,48,48,48,48,48,48,31604,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial49,-0.400877233898993,True
49,49,49,49,49,49,49,49,31605,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial50,-0.4312892061231499,True
50,50,50,50,50,50,50,50,31606,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial51,-0.367048309868461,True
51,51,51,51,51,51,51,51,31607,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial52,-0.274503102262855,False
52,52,52,52,52,52,52,52,31608,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial53,-0.7021126738224781,True
53,53,53,53,53,53,53,53,31609,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial54,-0.514339639886574,True
54,54,54,54,54,54,54,54,31610,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial55,-0.616925783085061,True
55,55,55,55,55,55,55,55,31611,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial56,-0.2489076383807029,False
56,56,56,56,56,56,56,56,31612,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial57,-0.49924948216058,True
57,57,57,57,57,57,57,57,31613,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial58,-0.607474887286367,True
58,58,58,58,58,58,58,58,31614,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial59,-0.400877233898993,True
59,59,59,59,59,59,59,59,31615,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial60,-0.383591173469299,True
60,60,60,60,60,60,60,60,31616,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial61,-0.367048309868461,True
61,61,61,61,61,61,61,61,31617,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial62,-0.351086367590571,True
62,62,62,62,62,62,62,62,31618,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial63,-0.4312892061231499,True
63,63,63,63,63,63,63,63,31619,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial64,-0.4639922534583471,True
64,64,64,64,64,64,64,64,31620,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial65,-0.306374073117231,True
65,65,65,65,65,65,65,65,31621,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial66,0.212735286748349,False
66,66,66,66,66,66,66,66,31622,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial67,-0.213233445523932,False
67,67,67,67,67,67,67,67,31623,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial68,0.0541441584372877,False
68,68,68,68,68,68,68,68,31624,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial69,0.0154077608492451,False
69,69,69,69,69,69,69,69,31625,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial70,-0.4188799481413301,True
70,70,70,70,70,70,70,70,31626,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial71,-0.4506272636619671,True
71,71,71,71,71,71,71,71,31627,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial72,-0.4312892061231499,True
72,72,72,72,72,72,72,72,31628,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial73,-0.412775642137266,True
73,73,73,73,73,73,73,73,31629,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial74,-0.4440634941595779,True
74,74,74,74,74,74,74,74,31630,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial75,-0.3780158556723089,True
75,75,75,75,75,75,75,75,31631,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial76,-0.4068154367399489,True
76,76,76,76,76,76,76,76,31632,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial77,-0.491987046476762,True
77,77,77,77,77,77,77,77,31633,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial78,-0.470763280958497,True
78,78,78,78,78,78,78,78,31634,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial79,0.228172256929196,False
79,79,79,79,79,79,79,79,31635,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial80,-0.205624152494917,False
80,80,80,80,80,80,80,80,31636,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial81,-0.5377445370374361,True
81,81,81,81,81,81,81,81,31637,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial82,-0.457224940217549,True
82,82,82,82,82,82,82,82,31638,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run14,Trial83,-0.4312892061231499,True
