,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
31653,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial1,-0.470763280958497
31654,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial2,-0.213233445523932
31655,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial3,-0.437565522014225
31656,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial4,-0.470763280958497
31657,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial5,-0.450627263661967
31658,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial6,-0.425009236919568
31659,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial7,-0.579986534856513
31660,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial8,-0.43128920612315
31661,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial9,0.224009337254803
31662,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial10,-0.130259210459168
31663,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial11,0.0520603166914868
31664,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial12,-0.162911362915669
31665,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial13,-0.325680301234116
31666,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial14,-0.274437305053139
31667,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial15,-0.484772865400136
31668,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial16,-0.412866123296364
31669,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial17,-0.444063494159578
31670,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial18,-0.607474887286367
31671,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial19,-0.45052856410882
31672,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial20,-0.701877888314988
31673,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial21,-0.506710303297468
31674,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial22,-0.477781632523016
31675,SRH_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run15,Trial23,-0.514339639886574
