,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,32586,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial1,0.344970658196748,False
1,1,1,1,32587,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial2,-0.0020104440151502,False
2,2,2,2,32588,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial3,-0.0247122234720201,False
3,3,3,3,32589,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial4,-0.0246247816297309,False
4,4,4,4,32590,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial5,-0.193597898950288,False
5,5,5,5,32591,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial6,-0.300172706966012,True
6,6,6,6,32592,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial7,-0.0611500520588417,False
7,7,7,7,32593,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial8,-0.0132059179225039,False
8,8,8,8,32594,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial9,-0.14100706519654,False
9,9,9,9,32595,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial10,-0.243636387464556,False
10,10,10,10,32596,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial11,-0.160388429118932,False
11,11,11,11,32597,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial12,-0.34650467737881,True
12,12,12,12,32598,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial13,-0.211015880747853,False
13,13,13,13,32599,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial14,-0.3229093326769,True
14,14,14,14,32600,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial15,-0.352911861624232,True
15,15,15,15,32601,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial16,-0.334531908641976,True
16,16,16,16,32602,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial17,-0.419703518378788,True
17,17,17,17,32603,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial18,-0.300337639361906,True
18,18,18,18,32604,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial19,-0.32859370580102,True
19,19,19,19,32605,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial20,-0.359005678025177,True
20,20,20,20,32606,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial21,-0.516568294734348,True
21,21,21,21,32607,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial22,-0.419486425406558,True
22,22,22,22,32608,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial23,-0.398376369924451,True
23,23,23,23,32609,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial24,-0.278724354901818,True
24,24,24,24,32610,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial25,-0.473496964536006,True
25,25,25,25,32611,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial26,-0.334531908641976,True
26,26,26,26,32612,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial27,-0.481851425127633,True
27,27,27,27,32613,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial28,-0.449666741756232,True
28,28,28,28,32614,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial29,-0.238789514762702,False
29,29,29,29,32615,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial30,-0.629418354345546,True
30,30,30,30,32616,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial31,-0.206673011094559,False
31,31,31,31,32617,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial32,-0.419703518378788,True
32,32,32,32,32618,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial33,-0.525803114825046,True
33,33,33,33,32619,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial34,0.0550346540850217,False
34,34,34,34,32620,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial35,0.0326324710266932,False
35,35,35,35,32621,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial36,0.154337400230186,False
36,36,36,36,32622,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial37,-0.0974669900787908,False
37,37,37,37,32623,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial38,-0.156402865666897,False
38,38,38,38,32624,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial39,-0.391708725360374,True
39,39,39,39,32625,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial40,-0.427076372593284,True
40,40,40,40,32626,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial41,-0.706423033079463,True
41,41,41,41,32627,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial42,-0.426855563598491,True
42,42,42,42,32628,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial43,-0.457294717537046,True
43,43,43,43,32629,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial44,-0.284040916378715,True
44,44,44,44,32630,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial45,-0.473496964536006,True
45,45,45,45,32631,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial46,-0.516568294734348,True
46,46,46,46,32632,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial47,-0.473496964536006,True
47,47,47,47,32633,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial48,-0.391708725360374,True
48,48,48,48,32634,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial49,-0.365377790648063,True
49,49,49,49,32635,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial50,-0.457531562379439,True
50,50,50,50,32636,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial51,-0.498971632009842,True
51,51,51,51,32637,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial52,-0.535191359188394,True
52,52,52,52,32638,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial53,-0.498711081367948,True
53,53,53,53,32639,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial54,-0.405393037415481,True
54,54,54,54,32640,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial55,-0.507570066249802,True
55,55,55,55,32641,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial56,-0.735606553407435,True
56,56,56,56,32642,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial57,-0.574708894124492,True
57,57,57,57,32643,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial58,-0.46558166305384,True
58,58,58,58,32644,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial59,-0.441941818753536,True
59,59,59,59,32645,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial60,-0.544497514281898,True
60,60,60,60,32646,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial61,-0.584912052875442,True
61,61,61,61,32647,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial62,-0.735606553407435,True
62,62,62,62,32648,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial63,-0.666439723252302,True
63,63,63,63,32649,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial64,-0.617785546037396,True
64,64,64,64,32650,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial65,-0.653724686774467,True
65,65,65,65,32651,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial66,-0.525803114825046,True
66,66,66,66,32652,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial67,-0.653724686774467,True
67,67,67,67,32653,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial68,-0.706423033079463,True
68,68,68,68,32654,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial69,-0.481851425127633,True
69,69,69,69,32655,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial70,-0.595686217383435,True
70,70,70,70,32656,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial71,-0.641793609752899,True
71,71,71,71,32657,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial72,-0.516568294734348,True
72,72,72,72,32658,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial73,-0.27349793703801,False
73,73,73,73,32659,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial74,-0.457294717537046,True
74,74,74,74,32660,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial75,-0.564386313182845,True
75,75,75,75,32661,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial76,-0.525803114825046,True
76,76,76,76,32662,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial77,-0.564386313182845,True
77,77,77,77,32663,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial78,-0.525803114825046,True
78,78,78,78,32664,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial79,-0.490327172642166,True
79,79,79,79,32665,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial80,-0.766330184574981,True
80,80,80,80,32666,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial81,-0.596011978980334,True
81,81,81,81,32667,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial82,-0.629829145724505,True
82,82,82,82,32668,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial83,-0.679077699835657,True
83,83,83,83,32669,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial84,-0.735606553407435,True
84,84,84,84,32670,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial85,-0.498971632009842,True
85,85,85,85,32671,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial86,-0.618128319916203,True
86,86,86,86,32672,SRH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial87,-0.498711081367948,True
