,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
76211,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial1,-0.71410318368724
76212,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial2,-0.648691377364056
76213,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial3,-0.456926471729141
76214,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial4,-0.648691377364056
76215,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial5,-0.523828024707257
76216,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial6,-0.552046773920133
76217,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial7,-0.592489559312702
76218,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial8,-0.200728630561287
76219,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial9,-0.405842890385468
76220,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial10,-0.291300646351624
76221,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial11,-0.481002544774129
76222,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial12,-0.602945947356344
76223,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial13,-0.551757244254807
76224,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial14,-0.686732183189997
76225,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial15,-0.637088875697414
76226,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial16,-0.673316364859969
76227,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial17,-0.625388049889112
76228,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial18,-0.506231361982751
76229,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial19,-0.542451089161303
76230,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial20,-0.673699453225211
76231,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial21,-0.625388049889112
76232,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial22,-0.660984416747376
76233,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial23,-0.533062844797955
76234,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial24,-0.571646043155755
76235,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial25,-0.533062844797955
76236,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial26,0.282030949884278
76237,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial27,-0.552046773920133
76238,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial28,-0.515095717946646
76239,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial29,-0.480756694508915
76240,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial30,-0.602945947356344
76241,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial31,-0.742866283380344
76242,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial32,-0.673699453225211
76243,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial33,-0.660984416747376
76244,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial34,-0.602945947356344
76245,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial35,-0.686732183189997
76246,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial36,-0.673699453225211
76247,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial37,-0.464791292352348
76248,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial38,-0.603271708953243
76249,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial39,-0.648691377364056
76250,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial40,-0.602945947356344
76251,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial41,-0.551757244254807
76252,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial42,-0.673699453225211
76253,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial43,-0.464791292352348
76254,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial44,-0.441574202155297
76255,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial45,0.03538482777217
76256,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial46,-0.636678084318456
76257,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial47,-0.514829796222712
76258,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial48,-0.637088875697414
76259,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial49,-0.0652354123341046
76260,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial50,-0.505970811340857
76261,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial51,-0.727993244015679
76262,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial52,-0.385702187526016
76263,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial53,-0.727993244015679
76264,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial54,-0.441574202155297
76265,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial55,-0.727993244015679
76266,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial56,-0.581968624097401
76267,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial57,-0.727993244015679
76268,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial58,-0.571343152652786
76269,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial59,-0.713682763052372
76270,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial60,-0.489111155100542
76271,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial61,-0.713682763052372
76272,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial62,-0.648691377364056
76273,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial63,-0.686337429808566
76274,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial64,-0.637088875697414
76275,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial65,-0.790141150764523
76276,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial66,-0.625388049889112
76277,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial67,-0.660984416747376
76278,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial68,-0.713682763052372
76279,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial69,-0.649053339725808
76280,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial70,-0.602945947356344
76281,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial71,-0.758189187492593
76282,SRH_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial72,-0.592489559312702
