,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,76674,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial1,0.0122579694468432,False
1,1,1,1,1,1,1,1,76675,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial2,0.179818673690278,False
2,2,2,2,2,2,2,2,76676,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial3,0.0548437461767226,False
3,3,3,3,3,3,3,3,76677,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial4,-0.229110594966853,False
4,4,4,4,4,4,4,4,76678,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial5,0.106666517217824,False
5,5,5,5,5,5,5,5,76679,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial6,-0.176676342844716,False
6,6,6,6,6,6,6,6,76680,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial7,-0.422089348760465,True
7,7,7,7,7,7,7,7,76681,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial8,-0.3887186557279821,True
8,8,8,8,8,8,8,8,76682,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial9,-0.422089348760465,True
9,9,9,9,9,9,9,9,76683,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial10,-0.3358676046946799,True
10,10,10,10,10,10,10,10,76684,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial11,-0.50860809673231,True
11,11,11,11,11,11,11,11,76685,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial12,-0.658984820799951,True
12,12,12,12,12,12,12,12,76686,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial13,-0.5894349022795761,True
13,13,13,13,13,13,13,13,76687,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial14,-0.644111781435286,True
14,14,14,14,14,14,14,14,76688,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial15,-0.4877645805753621,True
15,15,15,15,15,15,15,15,76689,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial16,-0.530168429128449,True
16,16,16,16,16,16,16,16,76690,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial17,-0.6897084519674979,True
17,17,17,17,17,17,17,17,76691,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial18,-0.3971210821937369,True
18,18,18,18,18,18,18,18,76692,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial19,-0.602850720609605,True
19,19,19,19,19,19,19,19,76693,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial20,-0.4777310108269489,True
20,20,20,20,20,20,20,20,76694,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial21,-0.519390246372851,True
21,21,21,21,21,21,21,21,76695,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial22,-0.658984820799951,True
22,22,22,22,22,22,22,22,76696,SRH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial23,-0.602850720609605,True
