,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,74911,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial1,-0.405739482833433,True
1,1,1,1,74912,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial2,-0.571595546733175,True
2,2,2,2,74913,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial3,-0.533062844797955,True
3,3,3,3,74914,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial4,-0.434262487093197,True
4,4,4,4,74915,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial5,-0.625330902118531,True
5,5,5,5,74916,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial6,-0.434262487093197,True
6,6,6,6,74917,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial7,-0.472720738912372,True
7,7,7,7,74918,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial8,-0.50610106712246,True
8,8,8,8,74919,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial9,-0.472720738912372,True
9,9,9,9,74920,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial10,-0.592330642015606,True
10,10,10,10,74921,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial11,-0.472760953226203,True
11,11,11,11,74922,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial12,-0.441649067606595,True
12,12,12,12,74923,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial13,0.284843980689494,False
13,13,13,13,74924,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial14,-0.231986645135642,False
14,14,14,14,74925,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial15,0.0597033242741953,False
15,15,15,15,74926,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial16,-0.0747807302403349,False
16,16,16,16,74927,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial17,-0.101310777779384,False
17,17,17,17,74928,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial18,0.242043532606878,False
18,18,18,18,74929,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial19,-0.0878266272706436,False
19,19,19,19,74930,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial20,-0.115209387295943,False
20,20,20,20,74931,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial21,-0.324329479399848,True
21,21,21,21,74932,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial22,-0.353856150016266,True
22,22,22,22,74933,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial23,-0.179829119542506,False
23,23,23,23,74934,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial24,-0.324329479399848,True
24,24,24,24,74935,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial25,-0.464791292352348,True
25,25,25,25,74936,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial26,-0.335853435773929,True
26,26,26,26,74937,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial27,0.123254909877591,False
27,27,27,27,74938,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial28,-0.385570563193472,True
28,28,28,28,74939,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial29,-0.318595573538051,True
29,29,29,29,74940,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial30,-0.302024511743397,True
30,30,30,30,74941,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial31,-0.434225684035516,True
31,31,31,31,74942,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial32,-0.231986645135642,False
32,32,32,32,74943,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial33,-0.456926471729141,True
33,33,33,33,74944,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial34,-0.372605586029105,True
34,34,34,34,74945,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial35,-0.464751809241097,True
35,35,35,35,74946,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial36,-0.330024283343237,True
36,36,36,36,74947,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial37,-0.366265407998086,True
37,37,37,37,74948,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial38,-0.44923964306285,True
38,38,38,38,74949,SRH_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial39,-0.241350274992167,False
