,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
116334,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial1,-0.372406236805924
116335,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial2,-0.673406887256752
116336,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial3,-0.422064675781878
116337,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial4,-0.517332741722957
116338,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial5,-0.628824754604011
116339,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial6,-0.00356250819495108
116340,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial7,0.381640679074154
116341,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial8,0.288584681308765
116342,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial9,-0.0713468959287891
116343,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial10,-0.277820783978191
116344,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial11,-0.232987151138409
116345,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial12,-0.384276114892478
116346,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial13,-0.282591081992406
116347,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial14,-0.588396097548403
116348,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial15,-0.485733755651255
116349,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial16,-0.456314375680343
116350,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial17,-0.736458633003841
116351,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial18,-0.355089686126457
116352,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial19,-0.501245921829503
116353,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial20,-0.366576301862648
116354,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial21,-0.307110160080179
116355,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial22,-0.493420584317546
116356,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial23,-0.360766447977394
116357,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial24,-0.650544004297247
116358,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial25,-0.366518395931642
116359,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial26,-0.349486170135651
116360,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial27,-0.628824754604011
116361,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial28,-0.402759520586491
116362,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial29,-0.639548619995784
116363,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial30,-0.463457360940103
116364,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial31,-0.259337378284178
116365,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial32,-0.5426820386075351
116366,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial33,-0.456314375680343
116367,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial34,-0.723160478625605
116368,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial35,-0.517332741722957
116369,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial36,-0.551368217792628
116370,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial37,-0.673465579666045
116371,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial38,-0.485733755651255
116372,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial39,-0.77921061342479
116373,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial40,-0.478180617760809
116374,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial41,-0.517332741722957
116375,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial42,-0.628824754604011
116376,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial43,-0.273125662769811
116377,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial44,-0.493420584317546
116378,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial45,-0.366576301862648
116379,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial46,-0.268480757724048
116380,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial47,-0.493420584317546
116381,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial48,-0.40909969861751
116382,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial49,-0.650544004297247
116383,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial50,-0.282591081992406
116384,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial51,-0.312189685609454
116385,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial52,-0.493420584317546
116386,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial53,-0.317329325261865
116387,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial54,-0.578850779642173
116388,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial55,-0.372347548362335
116389,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial56,-0.517332741722957
116390,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial57,-0.551368217792628
116391,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial58,-0.456243179863478
116392,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial59,-0.355089686126457
116393,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial60,-0.435462567921689
116394,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial61,-0.533995859422443
116395,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial62,-0.442302531054032
116396,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial63,-0.618359320925846
116397,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial64,-0.449181899489124
116398,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial65,-0.5426820386075351
116399,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial66,0.0348417034255122
116400,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial67,0.186526182705042
116401,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial68,-0.650544004297247
116402,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial69,-0.470756599681602
116403,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial70,-0.650544004297247
116404,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial71,-0.60814015574416
116405,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial72,-0.196285632537089
116406,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial73,-0.628824754604011
116407,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial74,-0.312189685609454
116408,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial75,-0.442233595421839
116409,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial76,-0.41553380862292
116410,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial77,-0.00104688349395854
116411,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial78,-0.456314375680343
116412,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial79,-0.435394709408753
116413,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial80,0.0136638937795595
116414,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial81,-0.422064675781878
116415,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial82,-0.456243179863478
116416,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial83,0.061576642617049
116417,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial84,-0.13780489036779
116418,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial85,-0.569464554304756
116419,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial86,-0.415566219868273
116420,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial87,-0.0429652680830519
116421,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial88,-0.39651057130949
116422,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial89,-0.428695254680891
116423,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial90,-0.409131633209378
116424,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial91,-0.501285404940754
116425,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial92,-0.366518395931642
116426,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial93,-0.578850779642173
116427,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial94,-0.372406236805924
116428,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial95,-0.355089686126457
116429,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial96,-0.56955695738636
116430,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial97,-0.366576301862648
116431,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial98,-0.57880357628558
116432,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial99,-0.422097578125308
116433,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial100,-0.449181899489124
116434,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial101,-0.551368217792628
116435,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial102,-0.355146088007303
116436,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial103,-0.493420584317546
116437,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial104,-0.282543357324017
116438,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial105,-0.517332741722957
