,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,116439,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial1,-0.273125662769811,False
1,1,1,1,116440,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial2,-0.750246917489474,True
2,2,2,2,116441,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial3,-0.317329325261865,True
3,3,3,3,116442,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial4,-0.449181899489124,True
4,4,4,4,116443,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial5,-0.551456849319855,True
5,5,5,5,116444,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial6,-0.312189685609454,True
6,6,6,6,116445,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial7,-0.736390779791937,True
7,7,7,7,116446,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial8,-0.355089686126457,True
8,8,8,8,116447,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial9,-0.56955695738636,True
9,9,9,9,116448,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial10,-0.60814015574416,True
10,10,10,10,116449,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial11,-0.390350262604672,True
11,11,11,11,116450,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial12,-0.618359320925846,True
12,12,12,12,116451,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial13,-0.349486170135651,True
13,13,13,13,116452,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial14,-0.485733755651255,True
14,14,14,14,116453,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial15,-0.517332741722957,True
15,15,15,15,116454,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial16,-0.292243003930611,True
16,16,16,16,116455,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial17,-0.810244847164759,True
17,17,17,17,116456,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial18,-0.435462567921689,True
18,18,18,18,116457,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial19,-0.366518395931642,True
19,19,19,19,116458,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial20,-0.212224833638537,False
20,20,20,20,116459,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial21,-0.525647028781523,True
21,21,21,21,116460,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial22,-0.338518624331803,True
22,22,22,22,116461,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial23,0.319492772325309,False
23,23,23,23,116462,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial24,-0.322530518947673,True
24,24,24,24,116463,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial25,-0.57880357628558,True
25,25,25,25,116464,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial26,-0.155266579967917,False
26,26,26,26,116465,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial27,-0.41553380862292,True
27,27,27,27,116466,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial28,-0.39651057130949,True
28,28,28,28,116467,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial29,-0.378285751203291,True
29,29,29,29,116468,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial30,-0.40909969861751,True
30,30,30,30,116469,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial31,-0.22875030487386,False
31,31,31,31,116470,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial32,-0.428728663233691,True
32,32,32,32,116471,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial33,-0.317329325261865,True
33,33,33,33,116472,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial34,-0.509214851500778,True
34,34,34,34,116473,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial35,-0.542595179710865,True
35,35,35,35,116474,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial36,-0.449251946986357,True
36,36,36,36,116475,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial37,-0.188530167840327,False
37,37,37,37,116476,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial38,-0.250382535631252,False
38,38,38,38,116477,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial39,-0.402759520586491,True
39,39,39,39,116478,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial40,-0.493420584317546,True
40,40,40,40,116479,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial41,-0.245973416726197,False
41,41,41,41,116480,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial42,0.161511909852071,False
42,42,42,42,116481,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial43,-0.0137219067100731,False
43,43,43,43,116482,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial44,0.15284306950247,False
44,44,44,44,116483,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial45,-0.409131633209378,True
45,45,45,45,116484,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial46,-0.263907864240747,False
46,46,46,46,116485,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial47,-0.428695254680891,True
47,47,47,47,116486,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial48,-0.456314375680343,True
48,48,48,48,116487,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial49,-0.560322137295663,True
49,49,49,49,116488,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial50,-0.463421171241161,True
50,50,50,50,116489,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial51,-0.560412615313053,True
51,51,51,51,116490,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial52,-0.525605267688948,True
52,52,52,52,116491,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial53,-0.501245921829503,True
53,53,53,53,116492,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial54,-0.697602613474313,True
54,54,54,54,116493,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial55,-0.442233595421839,True
55,55,55,55,116494,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial56,-0.533995859422443,True
56,56,56,56,116495,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial57,-0.661825014706936,True
57,57,57,57,116496,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial58,-0.41553380862292,True
58,58,58,58,116497,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial59,-0.470719796623921,True
59,59,59,59,116498,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial60,-0.449251946986357,True
60,60,60,60,116499,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial61,-0.710065832141548,True
61,61,61,61,116500,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial62,-0.307110160080179,True
62,62,62,62,116501,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial63,-0.493420584317546,True
63,63,63,63,116502,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial64,-0.0954805756455084,False
64,64,64,64,116503,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial65,-0.355089686126457,True
65,65,65,65,116504,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial66,-0.650544004297247,True
66,66,66,66,116505,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial67,-0.360823591988253,True
67,67,67,67,116506,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial68,-0.41553380862292,True
68,68,68,68,116507,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial69,-0.0655318289920754,False
69,69,69,69,116508,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial70,-0.0215005232836916,False
70,70,70,70,116509,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial71,0.163233654316022,False
71,71,71,71,116510,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial72,-0.378256006024559,True
72,72,72,72,116511,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial73,-0.40909969861751,True
73,73,73,73,116512,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial74,-0.501245921829503,True
74,74,74,74,116513,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial75,-0.533995859422443,True
75,75,75,75,116514,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial76,-0.442233595421839,True
76,76,76,76,116515,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial77,-0.542595179710865,True
77,77,77,77,116516,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial78,-0.307110160080179,True
78,78,78,78,116517,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial79,-0.493420584317546,True
79,79,79,79,116518,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial80,-0.27779718165858,True
80,80,80,80,116519,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial81,-0.233029729028825,False
81,81,81,81,116520,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial82,-0.560322137295663,True
82,82,82,82,116521,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial83,-0.463457360940103,True
83,83,83,83,116522,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial84,-0.390350262604672,True
84,84,84,84,116523,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial85,-0.372406236805924,True
85,85,85,85,116524,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial86,-0.204182113383123,False
86,86,86,86,116525,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial87,-0.390350262604672,True
87,87,87,87,116526,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial88,-0.478180617760809,True
88,88,88,88,116527,SRH_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial89,-0.312189685609454,True
