,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,156193,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial1,0.18455335610158,False
1,1,1,1,156194,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial2,-0.297212803663845,True
2,2,2,2,156195,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial3,0.0331682359764995,False
3,3,3,3,156196,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial4,-0.426846661480525,True
4,4,4,4,156197,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial5,-0.248641533878497,False
5,5,5,5,156198,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial6,-0.351881899834064,True
6,6,6,6,156199,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial7,-0.301931528474606,True
7,7,7,7,156200,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial8,-0.257074292032442,False
8,8,8,8,156201,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial9,-0.459549708815723,True
9,9,9,9,156202,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial10,-0.341416466155899,True
10,10,10,10,156203,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial11,-0.420566692276943,True
11,11,11,11,156204,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial12,-0.452782395574925,True
12,12,12,12,156205,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial13,-0.341416466155899,True
13,13,13,13,156206,SRH_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial14,-0.414437403498706,True
