,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,35079,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial1,0.179605934515326,False
1,1,1,1,35080,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial2,-0.267576375590783,False
2,2,2,2,35081,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial3,-0.0729760083646553,False
3,3,3,3,35082,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial4,-0.298872966488434,True
4,4,4,4,35083,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial5,-0.3596601143893,True
5,5,5,5,35084,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial6,-0.388692238210395,True
6,6,6,6,35085,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial7,-0.378748859618294,True
7,7,7,7,35086,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial8,-0.447480005054588,True
8,8,8,8,35087,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial9,-0.319678857780551,True
9,9,9,9,35088,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial10,-0.425227900423248,True
10,10,10,10,35089,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial11,-0.409106035704184,True
11,11,11,11,35090,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial12,-0.441773926248354,True
12,12,12,12,35091,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial13,-0.470783332529531,True
13,13,13,13,35092,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial14,-0.332601254967248,True
14,14,14,14,35093,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial15,-0.441773926248354,True
15,15,15,15,35094,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial16,-0.52209040616274,True
16,16,16,16,35095,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial17,-0.332601254967248,True
17,17,17,17,35096,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial18,-0.489387358827543,True
18,18,18,18,35097,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial19,-0.346055703968395,True
19,19,19,19,35098,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial20,-0.374018068266922,True
20,20,20,20,35099,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial21,-0.3596601143893,True
21,21,21,21,35100,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial22,-0.430554387768378,True
22,22,22,22,35101,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial23,-0.515323092921942,True
23,23,23,23,35102,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial24,-0.398715348933694,True
24,24,24,24,35103,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial25,-0.430554387768378,True
25,25,25,25,35104,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial26,-0.459151475732127,True
26,26,26,26,35105,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial27,0.0161165196737585,False
27,27,27,27,35106,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial28,0.0101901603638499,False
28,28,28,28,35107,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial29,-0.224381437013966,False
29,29,29,29,35108,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial30,-0.470964276000756,True
30,30,30,30,35109,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial31,-0.453291013479266,True
31,31,31,31,35110,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial32,-0.355131697349817,True
32,32,32,32,35111,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial33,-0.383852491923954,True
33,33,33,33,35112,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial34,-0.337054691896925,True
34,34,34,34,35113,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial35,-0.36440141886265,True
35,35,35,35,35114,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial36,-0.256317639200991,False
36,36,36,36,35115,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial37,-0.388692238210395,True
37,37,37,37,35116,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial38,-0.0777920493748323,False
38,38,38,38,35117,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial39,-0.425227900423248,True
39,39,39,39,35118,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial40,-0.332601254967248,True
40,40,40,40,35119,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial41,-0.323850581390744,True
41,41,41,41,35120,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial42,-0.315293826368172,True
42,42,42,42,35121,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial43,-0.34153187943229,True
43,43,43,43,35122,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial44,-0.409106035704184,True
44,44,44,44,35123,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial45,-0.290770109921298,True
45,45,45,45,35124,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial46,-0.430554387768378,True
46,46,46,46,35125,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial47,-0.1213835995581,False
47,47,47,47,35126,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial48,-0.572323499555902,True
48,48,48,48,35127,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial49,-0.323850581390744,True
49,49,49,49,35128,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial50,-0.483107389623961,True
50,50,50,50,35129,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial51,-0.419778239814951,True
51,51,51,51,35130,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial52,-0.36440141886265,True
52,52,52,52,35131,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial53,-0.355131697349817,True
53,53,53,53,35132,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial54,-0.345919979872733,True
54,54,54,54,35133,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial55,-0.508626716813213,True
55,55,55,55,35134,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial56,0.0748669054819677,False
56,56,56,56,35135,STF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial57,0.157484976916782,False
