,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
35548,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial1,-0.454060228888466
35549,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial2,-0.485615374670936
35550,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial3,-0.346650318776906
35551,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial4,0.35230778691716
35552,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial5,-0.063798614160075
35553,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial6,0.0844710012995114
35554,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial7,-0.0426410724792503
35555,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial8,-0.0669271355597743
35556,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial9,-0.149313104923348
35557,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial10,-0.176549423410413
35558,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial11,-0.168639719752171
35559,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial12,-0.197157036960315
35560,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial13,-0.260485588950858
35561,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial14,-0.250907924897632
35562,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial15,-0.280605349657262
35563,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial16,-0.192918960558079
35564,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial17,-0.184585379006954
35565,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial18,-0.290842765036748
35566,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial19,-0.236868426682381
35567,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial20,-0.265589221256518
35568,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial21,-0.296159326513645
35569,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial22,-0.205587310723308
35570,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial23,-0.270428967542959
35571,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial24,-0.301354139193114
35572,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial25,-0.246279773659343
35573,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial26,-0.317850737709266
35574,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial27,-0.22779243330096
35575,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial28,-0.296159326513645
35576,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial29,-0.371124088160107
35577,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial30,-0.30680176932319
35578,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial31,-0.438973973733421
35579,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial32,-0.317850737709266
35580,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial33,-0.346650318776906
35581,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial34,-0.329045313630277
35582,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial35,-0.417511447550412
35583,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial36,-0.34071211593595
35584,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial37,-0.205587310723308
35585,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial38,-0.469649972514369
35586,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial39,-0.390363446145777
35587,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial40,-0.424607747437093
35588,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial41,-0.301354139193114
35589,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial42,-0.334854013434794
35590,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial43,-0.477458798470396
35591,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial44,-0.390363446145777
35592,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial45,-0.323341471908384
35593,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial46,-0.608130389115264
35594,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial47,-0.28561634717294
35595,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial48,-0.477458798470396
35596,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial49,-0.446432882317318
35597,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial50,-0.323510655580918
35598,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial51,-0.528686704869278
35599,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial52,-0.329216734387152
35600,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial53,-0.469649972514369
35601,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial54,-0.439194782728214
35602,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial55,-0.47770007318877
35603,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial56,-0.390363446145777
35604,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial57,-0.323510655580918
35605,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial58,-0.461785151891162
35606,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial59,-0.329216734387152
35607,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial60,-0.364844118956525
35608,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial61,-0.454060228888466
35609,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial62,-0.323510655580918
35610,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial63,-0.461785151891162
35611,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial64,-0.383995617190017
35612,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial65,-0.275474727653795
35613,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial66,-0.519954398108667
35614,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial67,-0.48586122493615
35615,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial68,-0.454288845044949
35616,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial69,-0.431821928513719
35617,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial70,-0.461785151891162
35618,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial71,-0.502445582777096
35619,STF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run27,Trial72,-0.410701570547489
