,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,78651,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial1,0.170395839701971,False
1,1,1,1,78652,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial2,0.0315137060157764,False
2,2,2,2,78653,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial3,-0.0080063246918826,False
3,3,3,3,78654,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial4,-0.0514859271297516,False
4,4,4,4,78655,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial5,-0.144577553039905,False
5,5,5,5,78656,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial6,-0.167201920226987,False
6,6,6,6,78657,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial7,-0.11712453302303,False
7,7,7,7,78658,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial8,-0.191052466506248,False
8,8,8,8,78659,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial9,-0.160621325641181,False
9,9,9,9,78660,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial10,-0.216307898467848,False
10,10,10,10,78661,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial11,-0.311351887226161,True
11,11,11,11,78662,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial12,-0.205293489373931,False
12,12,12,12,78663,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial13,-0.335115432670644,True
13,13,13,13,78664,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial14,-0.220017370207411,False
14,14,14,14,78665,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial15,-0.280135265658499,True
15,15,15,15,78666,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial16,-0.386774577644721,True
16,16,16,16,78667,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial17,-0.263225980961439,False
17,17,17,17,78668,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial18,-0.458381836740315,True
18,18,18,18,78669,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial19,-0.275835179255803,True
19,19,19,19,78670,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial20,-0.381366652449198,True
20,20,20,20,78671,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial21,-0.325391385441412,True
21,21,21,21,78672,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial22,-0.280135265658499,True
22,22,22,22,78673,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial23,-0.344987308597611,True
23,23,23,23,78674,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial24,-0.263288021553231,False
24,24,24,24,78675,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial25,-0.409424329980043,True
25,25,25,25,78676,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial26,-0.392334198253045,True
26,26,26,26,78677,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial27,-0.4271844658771,True
27,27,27,27,78678,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial28,-0.458381836740315,True
28,28,28,28,78679,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial29,-0.349958188197574,True
29,29,29,29,78680,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial30,-0.375918007269182,True
30,30,30,30,78681,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial31,-0.325391385441412,True
31,31,31,31,78682,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial32,-0.349958188197574,True
32,32,32,32,78683,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial33,-0.381366652449198,True
33,33,33,33,78684,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial34,-0.365326225580527,True
34,34,34,34,78685,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial35,-0.445607548703886,True
35,35,35,35,78686,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial36,-0.427093984718003,True
36,36,36,36,78687,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial37,-0.288755647633875,True
37,37,37,37,78688,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial38,-0.111270371028867,False
38,38,38,38,78689,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial39,-0.280135265658499,True
39,39,39,39,78690,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial40,-0.386857036013104,True
40,40,40,40,78691,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial41,-0.375998429691295,True
41,41,41,41,78692,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial42,-0.451883864594961,True
42,42,42,42,78693,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial43,-0.485081623539234,True
43,43,43,43,78694,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial44,-0.365326225580527,True
44,44,44,44,78695,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial45,-0.397909516050035,True
45,45,45,45,78696,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial46,-0.4271844658771,True
46,46,46,46,78697,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial47,-0.513678243271994,True
47,47,47,47,78698,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial48,-0.491994908094191,True
48,48,48,48,78699,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial49,-0.335042234915157,True
49,49,49,49,78700,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial50,-0.403700194930931,True
50,50,50,50,78701,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial51,-0.485081623539234,True
51,51,51,51,78702,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial52,-0.330238258143266,True
52,52,52,52,78703,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial53,-0.36017735337926,True
53,53,53,53,78704,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial54,-0.386774577644721,True
54,54,54,54,78705,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial55,-0.471543282798286,True
55,55,55,55,78706,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial56,-0.355012167743964,True
56,56,56,56,78707,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial57,-0.386857036013104,True
57,57,57,57,78708,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial58,-0.259130289070738,False
58,58,58,58,78709,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial59,-0.403700194930931,True
59,59,59,59,78710,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial60,-0.439327579500304,True
60,60,60,60,78711,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial61,-0.375918007269182,True
61,61,61,61,78712,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial62,-0.506305389057498,True
62,62,62,62,78713,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial63,-0.485081623539234,True
63,63,63,63,78714,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial64,-0.325462974410816,True
64,64,64,64,78715,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial65,-0.445607548703886,True
65,65,65,65,78716,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial66,-0.536268612434941,True
66,66,66,66,78717,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial67,-0.506305389057498,True
67,67,67,67,78718,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial68,-0.544014994491376,True
68,68,68,68,78719,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial69,-0.409424329980043,True
69,69,69,69,78720,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial70,-0.439327579500304,True
70,70,70,70,78721,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial71,-0.471543282798286,True
71,71,71,71,78722,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial72,-0.403614476094789,True
72,72,72,72,78723,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial73,-0.271577252269852,False
73,73,73,73,78724,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial74,0.111760148849831,False
74,74,74,74,78725,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial75,0.182410980912968,False
75,75,75,75,78726,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial76,-0.105479692147972,False
76,76,76,76,78727,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial77,-0.239172788046006,False
77,77,77,77,78728,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial78,-0.427093984718003,True
78,78,78,78,78729,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial79,-0.288755647633875,True
79,79,79,79,78730,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial80,-0.397994116124698,True
80,80,80,80,78731,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial81,-0.427093984718003,True
81,81,81,81,78732,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial82,-0.325391385441412,True
82,82,82,82,78733,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial83,-0.397909516050035,True
83,83,83,83,78734,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial84,-0.267465061234937,False
84,84,84,84,78735,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial85,-0.415195576479729,True
85,85,85,85,78736,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial86,-0.280135265658499,True
86,86,86,86,78737,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial87,-0.392334198253045,True
87,87,87,87,78738,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial88,-0.375998429691295,True
88,88,88,88,78739,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial89,-0.36017735337926,True
89,89,89,89,78740,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial90,-0.439327579500304,True
90,90,90,90,78741,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial91,-0.421133779320686,True
91,91,91,91,78742,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial92,-0.403614476094789,True
92,92,92,92,78743,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial93,-0.344912428086738,True
93,93,93,93,78744,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial94,-0.375998429691295,True
94,94,94,94,78745,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial95,-0.36017735337926,True
95,95,95,95,78746,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial96,-0.386774577644721,True
96,96,96,96,78747,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial97,-0.421133779320686,True
97,97,97,97,78748,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial98,-0.451883864594961,True
98,98,98,98,78749,STF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial99,-0.386774577644721,True
