,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,79707,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial1,-0.482950677996544,True
1,1,1,1,1,1,1,1,79708,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial2,-0.384223935764783,True
2,2,2,2,2,2,2,2,79709,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial3,-0.414679125550938,True
3,3,3,3,3,3,3,3,79710,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial4,0.287446078996138,False
4,4,4,4,4,4,4,4,79711,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial5,0.266618045172902,False
5,5,5,5,5,5,5,5,79712,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial6,0.187420348888276,False
6,6,6,6,6,6,6,6,79713,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial7,0.0064255688573631,False
7,7,7,7,7,7,7,7,79714,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial8,0.112169396469083,False
8,8,8,8,8,8,8,8,79715,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial9,-0.0512499086312692,False
9,9,9,9,9,9,9,9,79716,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial10,0.0491312222125,False
10,10,10,10,10,10,10,10,79717,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial11,0.000348890387408,False
11,11,11,11,11,11,11,11,79718,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial12,-0.0512499086312692,False
12,12,12,12,12,12,12,12,79719,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial13,-0.1379481135946469,False
13,13,13,13,13,13,13,13,79720,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial14,-0.129614532043523,False
14,14,14,14,14,14,14,14,79721,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial15,-0.0905630627002005,False
15,15,15,15,15,15,15,15,79722,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial16,-0.186589436526676,False
16,16,16,16,16,16,16,16,79723,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial17,-0.0793823860051548,False
17,17,17,17,17,17,17,17,79724,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial18,-0.251993782792381,False
18,18,18,18,18,18,18,18,79725,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial19,-0.195937077934201,False
19,19,19,19,19,19,19,19,79726,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial20,-0.316153241196675,True
