,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
79935,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial1,-0.455858644539447
79936,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial2,-0.492055717601306
79937,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial3,-0.623587286423801
79938,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial4,-0.414679125550938
79939,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial5,-0.531856457295991
79940,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial6,-0.492338922359893
79941,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial7,-0.455858644539447
79942,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial8,-0.574933109208895
79943,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial9,-0.391462035353886
79944,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial10,-0.677881077214268
79945,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial11,-0.447474735813665
79946,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial12,-0.492338922359893
79947,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial13,-0.623587286423801
79948,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial14,-0.482950677996544
79949,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial15,-0.447474735813665
79950,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial16,-0.422729226225338
79951,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial17,-0.456119195181341
79952,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial18,-0.575275883087702
79953,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial19,-0.391462035353886
79954,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial20,-0.574933109208895
79955,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial21,-0.335392599182346
79956,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial22,0.121447982815328
79957,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial23,-0.0905630627002005
79958,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial24,-0.316153241196675
79959,STF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run29,Trial25,-0.40681430492773
