,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
119786,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,0.214059644309
119787,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,-0.13418029692397
119788,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,-0.458368022016919
119789,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,-0.147259346204822
119790,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,-0.0942376781609782
119791,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,-0.171092380256741
119792,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,-0.140646097898557
119793,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,-0.227107489700513
119794,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,-0.219230214023841
119795,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,-0.157338026352937
119796,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,-0.153924355119728
119797,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,-0.207609214082504
119798,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,-0.305448811419247
119799,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,-0.260192691636334
119800,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,-0.13414812815377
119801,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,-0.16071034446302
119802,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,-0.282197595726911
119803,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,-0.273332307751104
119804,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,-0.028998243534522
119805,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,-0.345462136149143
119806,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,-0.140678751619016
119807,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,-0.291340012736005
119808,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,-0.247522487212772
119809,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,-0.12463497901774
119810,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,-0.395253002457565
119811,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,-0.196309644476132
119812,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,-0.255892605233639
119813,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,-0.247522487212772
119814,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,-0.273265832409985
119815,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,-0.200074796185246
119816,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,-0.0913277970067026
119817,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,-0.377966942027871
119818,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,-0.282265452472744
119819,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,-0.207609214082504
119820,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,-0.305520400388651
119821,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,0.0119362493302821
119822,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial37,-0.264492351237732
119823,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial38,-0.196309644476132
119824,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial39,-0.134196382202659
119825,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial40,-0.413255716699902
119826,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial41,-0.207609214082504
119827,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial42,-0.235150582342612
119828,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial43,-0.296031116865041
119829,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial44,-0.251697923481929
119830,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial45,-0.0798226346013777
119831,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial46,-0.103131087770407
119832,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial47,-0.35605585566913
119833,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial48,-0.23508970136096
119834,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial49,-0.196309644476132
119835,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial50,-0.192650460811297
119836,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial51,-0.219230214023841
119837,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial52,0.158731808517831
119838,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial53,-0.143973036556557
119839,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial54,-0.260192691636334
119840,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial55,-0.188948856742483
119841,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial56,-0.18529662967241
119842,STF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial57,0.231037209683592
