,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,159563,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial1,0.43113899435024,False
1,1,1,1,1,1,1,1,159564,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial2,-0.0509575180870461,False
2,2,2,2,2,2,2,2,159565,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial3,0.0054280072987751,False
3,3,3,3,3,3,3,3,159566,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial4,-0.175156346792481,False
4,4,4,4,4,4,4,4,159567,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial5,-0.199058101946178,False
5,5,5,5,5,5,5,5,159568,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial6,0.0205714145501297,False
6,6,6,6,6,6,6,6,159569,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial7,-0.124678190467038,False
7,7,7,7,7,7,7,7,159570,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial8,-0.175056117278558,False
8,8,8,8,8,8,8,8,159571,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial9,-0.0768418906150914,False
9,9,9,9,9,9,9,9,159572,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial10,-0.175056117278558,False
10,10,10,10,10,10,10,10,159573,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial11,-0.171711726257096,False
11,11,11,11,11,11,11,11,159574,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial12,-0.168475144035679,False
12,12,12,12,12,12,12,12,159575,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial13,-0.142934671264432,False
13,13,13,13,13,13,13,13,159576,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial14,-0.220923119033881,False
14,14,14,14,14,14,14,14,159577,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial15,-0.161895169817634,False
15,15,15,15,15,15,15,15,159578,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial16,-0.396893731710002,True
16,16,16,16,16,16,16,16,159579,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial17,-0.178426462598849,False
17,17,17,17,17,17,17,17,159580,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial18,-0.149137086496862,False
18,18,18,18,18,18,18,18,159581,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial19,-0.232168469332207,False
19,19,19,19,19,19,19,19,159582,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial20,-0.259652689821734,False
20,20,20,20,20,20,20,20,159583,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial21,-0.320439837722601,True
21,21,21,21,21,21,21,21,159584,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial22,-0.1336649505767599,False
22,22,22,22,22,22,22,22,159585,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial23,-0.158650235632891,False
23,23,23,23,23,23,23,23,159586,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial24,-0.276200030961051,True
24,24,24,24,24,24,24,24,159587,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial25,-0.339674966127601,True
25,25,25,25,25,25,25,25,159588,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial26,-0.369885759037484,True
26,26,26,26,26,26,26,26,159589,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial27,-0.161895169817634,False
27,27,27,27,27,27,27,27,159590,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial28,-0.161895169817634,False
28,28,28,28,28,28,28,28,159591,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial29,-0.3913341111016781,True
29,29,29,29,29,29,29,29,159592,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial30,-0.3395285829515949,True
30,30,30,30,30,30,30,30,159593,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial31,-0.510864922514455,True
31,31,31,31,31,31,31,31,159594,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial32,-0.0875507686495283,False
32,32,32,32,32,32,32,32,159595,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial33,-0.213396226969322,False
33,33,33,33,33,33,33,33,159596,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial34,-0.306835427301696,True
34,34,34,34,34,34,34,34,159597,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial35,-0.3752023205143821,True
35,35,35,35,35,35,35,35,159598,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial36,-0.456539194783729,True
36,36,36,36,36,36,36,36,159599,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial37,-0.1100392256049289,False
37,37,37,37,37,37,37,37,159600,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial38,-0.276200030961051,True
38,38,38,38,38,38,38,38,159601,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial39,-0.339674966127601,True
39,39,39,39,39,39,39,39,159602,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial40,-0.4630386111907529,True
40,40,40,40,40,40,40,40,159603,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial41,-0.315911420683118,True
41,41,41,41,41,41,41,41,159604,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial42,-0.181840133832059,False
42,42,42,42,42,42,42,42,159605,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial43,-0.2360338228948589,False
43,43,43,43,43,43,43,43,159606,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial44,-0.232054181309993,False
44,44,44,44,44,44,44,44,159607,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial45,-0.364659341173676,True
45,45,45,45,45,45,45,45,159608,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial46,-0.444073265759898,True
46,46,46,46,46,46,46,46,159609,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial47,-0.152311456194508,False
47,47,47,47,47,47,47,47,159610,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial48,-0.2026207457738481,False
48,48,48,48,48,48,48,48,159611,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial49,-0.2283560989240839,False
49,49,49,49,49,49,49,49,159612,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial50,-0.456539194783729,True
50,50,50,50,50,50,50,50,159613,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial51,-0.4897445645482249,True
51,51,51,51,51,51,51,51,159614,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial52,-0.121684066479987,False
52,52,52,52,52,52,52,52,159615,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial53,-0.171811186805316,False
53,53,53,53,53,53,53,53,159616,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial54,-0.329950918898369,True
54,54,54,54,54,54,54,54,159617,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial55,-0.564658368671672,True
55,55,55,55,55,55,55,55,159618,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial56,-0.476102816255243,True
56,56,56,56,56,56,56,56,159619,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial57,-0.115786185765397,False
57,57,57,57,57,57,57,57,159620,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial58,-0.1921061598900419,False
58,58,58,58,58,58,58,58,159621,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial59,-0.320603277490843,True
59,59,59,59,59,59,59,59,159622,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial60,-0.548692966515105,True
60,60,60,60,60,60,60,60,159623,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial61,-0.369885759037484,True
61,61,61,61,61,61,61,61,159624,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial62,-0.188628394214457,False
62,62,62,62,62,62,62,62,159625,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial63,-0.217207781064969,False
63,63,63,63,63,63,63,63,159626,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial64,-0.243732321502963,False
64,64,64,64,64,64,64,64,159627,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial65,-0.533331839045685,True
65,65,65,65,65,65,65,65,159628,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial66,-0.32518114219595,True
66,66,66,66,66,66,66,66,159629,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial67,-0.217207781064969,False
67,67,67,67,67,67,67,67,159630,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial68,-0.181840133832059,False
68,68,68,68,68,68,68,68,159631,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial69,-0.306699703206033,True
69,69,69,69,69,69,69,69,159632,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial70,-0.4696038616887729,True
70,70,70,70,70,70,70,70,159633,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial71,-0.5649042189368859,True
71,71,71,71,71,71,71,71,159634,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial72,-0.2360338228948589,False
72,72,72,72,72,72,72,72,159635,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial73,-0.175056117278558,False
73,73,73,73,73,73,73,73,159636,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial74,-0.369885759037484,True
74,74,74,74,74,74,74,74,159637,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial75,-0.6263527633240611,True
75,75,75,75,75,75,75,75,159638,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial76,-0.5901330361455079,True
76,76,76,76,76,76,76,76,159639,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial77,-0.3594950722669939,True
77,77,77,77,77,77,77,77,159640,STF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial78,0.3464424404070469,False
