,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,37355,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial1,0.215455588947612,False
1,1,1,1,37356,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial2,-0.168616033289653,False
2,2,2,2,37357,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial3,-0.107548410605757,False
3,3,3,3,37358,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial4,-0.152528716760531,False
4,4,4,4,37359,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial5,-0.220811189800179,False
5,5,5,5,37360,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial6,-0.0255875757616399,False
6,6,6,6,37361,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial7,-0.23012041393495,False
7,7,7,7,37362,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial8,-0.136990691460621,False
8,8,8,8,37363,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial9,-0.0478008867842949,False
9,9,9,9,37364,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial10,-0.26619577938023,False
10,10,10,10,37365,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial11,-0.0197514820020239,False
11,11,11,11,37366,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial12,-0.246115206876179,False
12,12,12,12,37367,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial13,-0.0912458993833578,False
13,13,13,13,37368,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial14,-0.17686098250986,False
14,14,14,14,37369,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial15,-0.305560231102457,True
15,15,15,15,37370,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial16,0.0331296036497202,False
16,16,16,16,37371,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial17,-0.287214130019737,True
17,17,17,17,37372,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial18,-0.16047108184973,False
18,18,18,18,37373,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial19,-0.283657468980357,True
19,19,19,19,37374,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial20,-0.411005835305861,True
20,20,20,20,37375,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial21,-0.0256170524292392,False
21,21,21,21,37376,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial22,-0.256039444716646,False
22,22,22,22,37377,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial23,-0.179667802165895,False
23,23,23,23,37378,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial24,-0.227015945413369,False
24,24,24,24,37379,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial25,-0.411005835305861,True
25,25,25,25,37380,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial26,-0.246164186536226,False
26,26,26,26,37381,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial27,0.153746966475378,False
27,27,27,27,37382,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial28,-0.396825447653215,True
28,28,28,28,37383,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial29,-0.0689803621699725,False
29,29,29,29,37384,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial30,-0.328606815177962,True
30,30,30,30,37385,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial31,-0.392275895047339,True
31,31,31,31,37386,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial32,-0.0844534426265366,False
32,32,32,32,37387,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial33,-0.320781477666005,True
33,33,33,33,37388,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial34,-0.0498532142251329,False
34,34,34,34,37389,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial35,-0.396894748121206,True
35,35,35,35,37390,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial36,-0.320781477666005,True
36,36,36,36,37391,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial37,0.179009895749133,False
37,37,37,37,37392,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial38,0.104224050499104,False
38,38,38,38,37393,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial39,-0.249458471473767,False
39,39,39,39,37394,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial40,-0.301850759362893,True
40,40,40,40,37395,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial41,-0.269611721652546,False
41,41,41,41,37396,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial42,-0.23963356307098,False
42,42,42,42,37397,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial43,-0.126949043413383,False
43,43,43,43,37398,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial44,0.0348342162837514,False
44,44,44,44,37399,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial45,-0.283604073211936,True
45,45,45,45,37400,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial46,-0.179667802165895,False
46,46,46,46,37401,TXM_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial47,-0.23012041393495,False
