,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
123679,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial1,0.150963506534262
123680,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial2,-0.163743880948693
123681,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial3,-0.12407238381152
123682,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial4,-0.069542458720274
123683,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial5,-0.30262621410787
123684,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial6,-0.0353057503982819
123685,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial7,-0.342533987356691
123686,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial8,-0.245628150076434
123687,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial9,-0.0877930502512259
123688,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial10,-0.306490546067692
123689,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial11,-0.192256099277863
123690,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial12,-0.363821426646
123691,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial13,-0.39117531028872
123692,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial14,-0.461906143899554
123693,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial15,-0.405369824398099
123694,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial16,-0.266184032761081
123695,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial17,-0.391011870520477
123696,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial18,-0.508421619025746
123697,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial19,-0.445774353312258
123698,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial20,-0.39117531028872
123699,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial21,-0.314304354300839
123700,TXM_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run28,Trial22,-0.342533987356691
