,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,122702,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,0.0247442403146674,False
1,1,1,1,122703,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,-0.0769042223644751,False
2,2,2,2,122704,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,-0.157373005157687,False
3,3,3,3,122705,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,-0.159994469621318,False
4,4,4,4,122706,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,-0.283179463297214,True
5,5,5,5,122707,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,-0.159981388265216,False
6,6,6,6,122708,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,-0.122410901436086,False
7,7,7,7,122709,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,-0.209842433269034,False
8,8,8,8,122710,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,-0.233961440627033,False
9,9,9,9,122711,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,-0.259548447442851,False
10,10,10,10,122712,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,-0.0357070283983232,False
11,11,11,11,122713,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,-0.149640554926997,False
12,12,12,12,122714,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,-0.173277087889127,False
13,13,13,13,122715,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,-0.173236626298573,False
14,14,14,14,122716,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,-0.272913437239231,False
15,15,15,15,122717,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,-0.0436397493573257,False
16,16,16,16,122718,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,-0.181418646072041,False
17,17,17,17,122719,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,-0.184189823896037,False
18,18,18,18,122720,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,-0.142030821494219,False
19,19,19,19,122721,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,-0.209842433269034,False
20,20,20,20,122722,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,-0.0704699534824167,False
21,21,21,21,122723,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,-0.110564857661421,False
22,22,22,22,122724,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,-0.272913437239231,False
23,23,23,23,122725,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,-0.132116209943464,False
24,24,24,24,122726,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,0.0143622045209457,False
25,25,25,25,122727,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,0.0970173016903817,False
26,26,26,26,122728,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,-0.181459877213252,False
27,27,27,27,122729,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,-0.184189823896037,False
28,28,28,28,122730,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,-0.162579212011244,False
29,29,29,29,122731,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,-0.233961440627033,False
30,30,30,30,122732,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,-0.0517200676923388,False
31,31,31,31,122733,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,-0.129645076115305,False
32,32,32,32,122734,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,-0.173277087889127,False
33,33,33,33,122735,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,-0.134552133369277,False
34,34,34,34,122736,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,-0.276285755349314,True
35,35,35,35,122737,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,-0.0456256721576866,False
36,36,36,36,122738,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial37,-0.0202445116566325,False
37,37,37,37,122739,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial38,-0.110564857661421,False
38,38,38,38,122740,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial39,-0.0620365812391888,False
39,39,39,39,122741,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial40,-0.0496655560072843,False
40,40,40,40,122742,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial41,0.216496624385002,False
41,41,41,41,122743,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial42,0.126415556099601,False
42,42,42,42,122744,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial43,-0.167875228885329,False
43,43,43,43,122745,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial44,-0.149602236516146,False
44,44,44,44,122746,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial45,-0.35892085841736,True
45,45,45,45,122747,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial46,-0.0725827416153697,False
46,46,46,46,122748,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial47,-0.0945096655756763,False
47,47,47,47,122749,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial48,-0.137039019382467,False
48,48,48,48,122750,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial49,-0.122374911671948,False
49,49,49,49,122751,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial50,-0.25949909486242,False
50,50,50,50,122752,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial51,-0.0683356152495165,False
51,51,51,51,122753,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial52,0.216496624385002,False
52,52,52,52,122754,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial53,-0.132116209943464,False
53,53,53,53,122755,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial54,0.0001036694259206,False
54,54,54,54,122756,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial55,-0.165245628257573,False
55,55,55,55,122757,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial56,0.107034752541451,False
56,56,56,56,122758,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial57,-0.0202729592040112,False
57,57,57,57,122759,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial58,-0.170561057818814,False
58,58,58,58,122760,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial59,-0.218751426446728,False
59,59,59,59,122761,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial60,-0.297304105988821,True
60,60,60,60,122762,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial61,-0.0090216140335344,False
61,61,61,61,122763,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial62,0.341717018446724,False
62,62,62,62,122764,TXM_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial63,-0.0298414579711079,False
