,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,161383,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial1,0.0099905484726083,False
1,1,1,1,161384,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial2,-0.112012670551163,False
2,2,2,2,161385,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial3,-0.0007864980060392,False
3,3,3,3,161386,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial4,-0.123911893850871,False
4,4,4,4,161387,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial5,-0.16965598046772,False
5,5,5,5,161388,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial6,-0.214816670325715,False
6,6,6,6,161389,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial7,-0.128764396645283,False
7,7,7,7,161390,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial8,-0.172372010538033,False
8,8,8,8,161391,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial9,-0.153875117228314,False
9,9,9,9,161392,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial10,-0.200207451661008,False
10,10,10,10,161393,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial11,0.194846868773542,False
11,11,11,11,161394,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial12,-0.159076310914122,False
12,12,12,12,161395,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial13,-0.0193394343055386,False
13,13,13,13,161396,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial14,-0.128776596099824,False
14,14,14,14,161397,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial15,-0.217801421305607,False
15,15,15,15,161398,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial16,-0.151297694340503,False
16,16,16,16,161399,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial17,-0.13365939340386,False
17,17,17,17,161400,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial18,-0.0803422346032128,False
18,18,18,18,161401,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial19,-0.121505824084992,False
19,19,19,19,161402,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial20,-0.0549019436564842,False
20,20,20,20,161403,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial21,-0.0270018808428145,False
21,21,21,21,161404,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial22,-0.22689605457112,False
22,22,22,22,161405,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial23,-0.0653171785850235,False
23,23,23,23,161406,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial24,-0.188852700783885,False
24,24,24,24,161407,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial25,-0.126331367974283,False
25,25,25,25,161408,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial26,0.289196857898787,False
26,26,26,26,161409,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial27,-0.102711105660897,False
27,27,27,27,161410,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial28,-0.00627239598407,False
28,28,28,28,161411,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial29,-0.0781435460638629,False
29,29,29,29,161412,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial30,-0.252063395873713,False
30,30,30,30,161413,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial31,-0.138647630577379,False
31,31,31,31,161414,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial32,-0.0174471218548149,False
32,32,32,32,161415,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial33,-0.128764396645283,False
33,33,33,33,161416,TXM_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run6,Trial34,0.148445501917162,False
