,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
40153,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial1,0.138334562260813
40154,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial2,-0.111481757762271
40155,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial3,0.0330868774476483
40156,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial4,0.0406963323776854
40157,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial5,-0.0135436509083102
40158,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial6,0.0888658387863348
40159,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial7,0.25067591078486
40160,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial8,0.021372295223995
40161,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial9,-0.0355043278885612
40162,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial10,-0.119666918551677
40163,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial11,-0.00719370648518769
40164,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial12,-0.127911867771884
40165,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial13,0.021372295223995
40166,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial14,-0.0730771192364048
40167,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial15,-0.162748216370189
40168,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial16,-0.0957411038723484
40169,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial17,0.0272350019244008
40170,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial18,-0.0113989297488919
40171,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial19,-0.0157097661480461
40172,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial20,-0.241887235531001
40173,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial21,-0.0355043278885612
40174,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial22,-0.119666918551677
40175,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial23,-0.0243851953366803
40176,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial24,-0.0469156377192492
40177,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial25,-0.203845399505429
40178,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial26,0.0645737598332716
40179,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial27,-0.142159730549304
40180,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial28,0.0573747714704695
40181,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial29,-0.0855345637137566
40182,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial30,-0.231198240130207
40183,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial31,-0.0855345637137566
40184,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial32,-0.0880796732868214
40185,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial33,-0.0157097661480461
40186,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial34,-0.0562561661910559
40187,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial35,-0.168762041215155
40188,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial36,-0.0609670666099378
40189,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial37,-0.171862075062204
40190,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial38,-0.0266062054013378
40191,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial39,-0.0682337495356045
40192,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial40,-0.207090329978671
40193,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial41,-0.0880796732868214
40194,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial42,-0.156712403167151
40195,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial43,-0.0515257669543616
40196,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial44,-0.0731507347094014
40197,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial45,-0.217195373047379
40198,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial46,-0.0029661715949465
40199,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial47,-0.168762041215155
40200,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial48,0.0554809498939011
40201,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial49,-0.0906397860119741
40202,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial50,-0.210460675298962
40203,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial51,-0.0515257669543616
40204,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial52,-0.159622484806917
40205,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial53,-0.0730771192364048
40206,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial54,0.0716114006925781
40207,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial55,-0.325415191000662
40208,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial56,-0.0609670666099378
40209,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial57,-0.287626630111262
40210,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial58,-0.0243851953366803
40211,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial59,-0.0855345637137566
40212,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial60,-0.361985131598482
40213,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial61,-0.14782039846551
40214,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial62,-0.125109242067639
40215,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial63,-0.0633718107290266
40216,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial64,-0.0855345637137566
40217,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial65,-0.325415191000662
40218,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial66,0.00728843710131599
40219,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial67,-0.329868627930338
