,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,40298,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial1,0.0733750266221782,False
1,1,1,1,40299,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial2,-0.150759326972818,False
2,2,2,2,40300,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial3,0.0518432146734495,False
3,3,3,3,40301,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial4,-0.0755500558707367,False
4,4,4,4,40302,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial5,-0.165699163276873,False
5,5,5,5,40303,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial6,-0.0983599208868706,False
6,6,6,6,40304,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial7,-0.312492793813964,True
7,7,7,7,40305,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial8,0.0591427601329801,False
8,8,8,8,40306,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial9,-0.0657899443980687,False
9,9,9,9,40307,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial10,-0.361985131598482,True
10,10,10,10,40308,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial11,-0.103540121304184,False
11,11,11,11,40309,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial12,-0.316664517424157,True
12,12,12,12,40310,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial13,-0.0050800401412933,False
13,13,13,13,40311,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial14,-0.174875820860924,False
14,14,14,14,40312,VXE_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial15,-0.482201294860956,True
