,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,39204,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial1,0.0951187371852567,False
1,1,1,1,1,1,1,1,39205,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial2,-0.117096820050337,False
2,2,2,2,2,2,2,2,39206,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial3,-0.0287945102053531,False
3,3,3,3,3,3,3,3,39207,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial4,0.0410689759616321,False
4,4,4,4,4,4,4,4,39208,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial5,-0.0974517962649197,False
5,5,5,5,5,5,5,5,39209,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial6,-0.0628742997776284,False
6,6,6,6,6,6,6,6,39210,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial7,-0.167609650297641,False
7,7,7,7,7,7,7,7,39211,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial8,-0.0009931080882448,False
8,8,8,8,8,8,8,8,39212,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial9,0.0778309068530625,False
9,9,9,9,9,9,9,9,39213,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial10,-0.124681449755831,False
10,10,10,10,10,10,10,10,39214,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial11,-0.0349840850230505,False
11,11,11,11,11,11,11,11,39215,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial12,-0.156459540900875,False
12,12,12,12,12,12,12,12,39216,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial13,-0.0087773966834658,False
13,13,13,13,13,13,13,13,39217,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial14,-0.0833003769047735,False
14,14,14,14,14,14,14,14,39218,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial15,-0.107157104772298,False
15,15,15,15,15,15,15,15,39219,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial16,-0.090336151726949,False
16,16,16,16,16,16,16,16,39220,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial17,-0.0741083730006826,False
17,17,17,17,17,17,17,17,39221,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial18,-0.0433765100783501,False
18,18,18,18,18,18,18,18,39222,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial19,0.000905051911419,False
19,19,19,19,19,19,19,19,39223,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial20,-0.151037532731565,False
20,20,20,20,20,20,20,20,39224,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial21,-0.0562663829398242,False
21,21,21,21,21,21,21,21,39225,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial22,-0.137659587558448,False
22,22,22,22,22,22,22,22,39226,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial23,-0.0628742997776284,False
23,23,23,23,23,23,23,23,39227,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial24,-0.0833003769047735,False
24,24,24,24,24,24,24,24,39228,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial25,-0.107157104772298,False
25,25,25,25,25,25,25,25,39229,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial26,-0.0718291424305546,False
26,26,26,26,26,26,26,26,39230,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial27,-0.135022283094049,False
27,27,27,27,27,27,27,27,39231,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial28,-0.0267609625211724,False
28,28,28,28,28,28,28,28,39232,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial29,-0.0650846241584038,False
29,29,29,29,29,29,29,29,39233,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial30,-0.127230817761331,False
30,30,30,30,30,30,30,30,39234,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial31,-0.0718291424305546,False
31,31,31,31,31,31,31,31,39235,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial32,-0.114593602757306,False
32,32,32,32,32,32,32,32,39236,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial33,0.0340534391740603,False
33,33,33,33,33,33,33,33,39237,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial34,0.0122255498919146,False
34,34,34,34,34,34,34,34,39238,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial35,-0.135022283094049,False
35,35,35,35,35,35,35,35,39239,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial36,-0.0433765100783501,False
36,36,36,36,36,36,36,36,39240,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial37,-0.1429161237141629,False
37,37,37,37,37,37,37,37,39241,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial38,-0.0010219319867035,False
38,38,38,38,38,38,38,38,39242,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial39,-0.0226717119449016,False
39,39,39,39,39,39,39,39,39243,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial40,-0.0786800563848455,False
40,40,40,40,40,40,40,40,39244,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial41,0.0008763537220959,False
41,41,41,41,41,41,41,41,39245,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial42,-0.0903007468044246,False
42,42,42,42,42,42,42,42,39246,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial43,-0.0584651808725734,False
43,43,43,43,43,43,43,43,39247,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial44,-0.0287842675317539,False
44,44,44,44,44,44,44,44,39248,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial45,-0.124681449755831,False
45,45,45,45,45,45,45,45,39249,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial46,0.0103763329431046,False
46,46,46,46,46,46,46,46,39250,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial47,-0.2058958582382339,False
47,47,47,47,47,47,47,47,39251,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial48,-0.0584651808725734,False
48,48,48,48,48,48,48,48,39252,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial49,-0.0833003769047735,False
49,49,49,49,49,49,49,49,39253,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial50,-0.127230817761331,False
50,50,50,50,50,50,50,50,39254,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial51,-0.0048823527999415,False
51,51,51,51,51,51,51,51,39255,VXE_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial52,-0.1819441027218299,False
