,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
83510,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial1,0.214624901740667
83511,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial2,-0.114899376332763
83512,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial3,-0.0818506445611473
83513,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial4,-0.0684284624976956
83514,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial5,0.0227246947113562
83515,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial6,-0.0618535045283548
83516,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial7,-0.105194067825384
83517,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial8,-0.148028794646871
83518,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial9,-0.0365572678377526
83519,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial10,0.0333179835408792
83520,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial11,-0.0344624562142424
83521,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial12,-0.0910426484652382
83522,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial13,-0.114899376332763
83523,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial14,-0.0284389982350883
83524,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial15,0.0402307123521966
83525,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial16,-0.114899376332763
83526,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial17,-0.117372312967094
83527,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial18,-0.235751639614105
83528,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial19,-0.030444282768078
83529,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial20,-0.0365572678377526
83530,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial21,0.074877920125819
83531,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial22,-0.0683953939702695
83532,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial23,-0.129863833819003
83533,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial24,0.00633393481980749
83534,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial25,0.013686066311271
83535,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial26,-0.0553979991251574
83536,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial27,-0.077326584984919
83537,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial28,-0.259068921738612
83538,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial29,0.000748737409302702
83539,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial30,-0.0365265390922187
83540,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial31,-0.112464839840216
83541,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial32,-0.0980430183648893
83542,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial33,-0.259068921738612
83543,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial34,-0.0795714139910193
83544,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial35,0.0137134380997592
83545,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial36,-0.0406740291426773
83546,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial37,-0.0818506445611473
83547,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial38,-0.164201812461339
83548,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial39,-0.0864223279453102
83549,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial40,-0.0365572678377526
83550,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial41,-0.135011636739556
83551,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial42,-0.137563360968706
83552,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial43,-0.259068921738612
83553,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial44,-0.0795714139910193
83554,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial45,-0.0489843405807013
83555,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial46,-0.107576010790229
