,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,83770,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial1,0.167352676846057,False
1,1,1,1,83771,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial2,-0.129825740596386,False
2,2,2,2,83772,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial3,-0.198534660263509,False
3,3,3,3,83773,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial4,-0.198534660263509,False
4,4,4,4,83774,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial5,0.0209516962196528,False
5,5,5,5,83775,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial6,-0.161489175648035,False
6,6,6,6,83776,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial7,-0.186795860362898,False
7,7,7,7,83777,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial8,-0.164160585234168,False
8,8,8,8,83778,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial9,-0.167028317947287,False
9,9,9,9,83779,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial10,0.18978949081926,False
10,10,10,10,83780,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial11,-0.145362378400542,False
11,11,11,11,83781,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial12,-0.148028794646871,False
12,12,12,12,83782,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial13,-0.269363406986346,False
13,13,13,13,83783,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial14,-0.167028317947287,False
14,14,14,14,83784,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial15,0.02628457842683,False
15,15,15,15,83785,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial16,-0.178138636073603,False
16,16,16,16,83786,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial17,-0.117372312967094,False
17,17,17,17,83787,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial18,-0.232506705429362,False
18,18,18,18,83788,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial19,-0.137563360968706,False
19,19,19,19,83789,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial20,0.057083105795189,False
20,20,20,20,83790,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial21,-0.0574675272566751,False
21,21,21,21,83791,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial22,-0.117372312967094,False
22,22,22,22,83792,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial23,-0.287362178170155,True
23,23,23,23,83793,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial24,-0.158739088548138,False
24,24,24,24,83794,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial25,-0.0469022972376512,False
25,25,25,25,83795,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial26,-0.189730097404157,False
26,26,26,26,83796,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial27,-0.166931499163997,False
27,27,27,27,83797,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial28,-0.166931499163997,False
28,28,28,28,83798,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial29,-0.0532850552463411,False
29,29,29,29,83799,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial30,-0.0244460327659213,False
30,30,30,30,83800,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial31,-0.259120219391908,False
31,31,31,31,83801,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial32,-0.158739088548138,False
32,32,32,32,83802,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial33,-0.259017630143737,False
33,33,33,33,83803,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial34,-0.283709492627359,True
34,34,34,34,83804,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial35,0.0044832783314499,False
35,35,35,35,83805,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial36,-0.235865085323242,False
36,36,36,36,83806,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial37,-0.122298435676185,False
37,37,37,37,83807,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial38,-0.358615772882425,True
38,38,38,38,83808,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial39,-0.100385956514638,False
39,39,39,39,83809,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial40,-0.0490159635815455,False
40,40,40,40,83810,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial41,-0.302212568720555,True
41,41,41,41,83811,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial42,-0.105194067825384,False
42,42,42,42,83812,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial43,-0.362850928513324,True
43,43,43,43,83813,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial44,-0.102860914642537,False
44,44,44,44,83814,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial45,-0.192581584069176,False
45,45,45,45,83815,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial46,-0.269468469759676,False
46,46,46,46,83816,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial47,-0.066207452433038,False
47,47,47,47,83817,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial48,-0.169817648392168,False
48,48,48,48,83818,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial49,-0.109983219847115,False
49,49,49,49,83819,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial50,-0.0087353796487095,False
50,50,50,50,83820,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial51,-0.20752142037323,False
51,51,51,51,83821,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial52,-0.161489175648035,False
52,52,52,52,83822,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial53,-0.294779588830351,True
53,53,53,53,83823,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial54,-0.066207452433038,False
54,54,54,54,83824,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial55,0.0668957817840363,False
55,55,55,55,83825,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial56,-0.204570473466546,False
56,56,56,56,83826,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial57,-0.156019792687871,False
57,57,57,57,83827,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial58,-0.350056500757522,True
58,58,58,58,83828,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial59,-0.178138636073603,False
59,59,59,59,83829,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial60,0.0044832783314499,False
60,60,60,60,83830,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial61,-0.0030276780459308,False
61,61,61,61,83831,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial62,0.0063617739122561,False
62,62,62,62,83832,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial63,-0.290953832330763,True
63,63,63,63,83833,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial64,-0.140091162268831,False
64,64,64,64,83834,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial65,-0.0324182829725714,False
65,65,65,65,83835,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial66,-0.169817648392168,False
66,66,66,66,83836,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial67,-0.127356820810114,False
67,67,67,67,83837,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial68,-0.272914571742648,False
68,68,68,68,83838,VXE_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial69,-0.0886685943476158,False
