,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,125204,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial1,0.1351015599856589,False
1,1,1,1,1,1,1,1,125205,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial2,-0.289525973004312,True
2,2,2,2,2,2,2,2,125206,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial3,-0.0831430653618721,False
3,3,3,3,3,3,3,3,125207,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial4,-0.289525973004312,True
4,4,4,4,4,4,4,4,125208,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial5,-0.555775766428666,True
5,5,5,5,5,5,5,5,125209,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial6,-0.1133924911671819,False
6,6,6,6,6,6,6,6,125210,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial7,-0.605261129508585,True
7,7,7,7,7,7,7,7,125211,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial8,0.0753556728465541,False
8,8,8,8,8,8,8,8,125212,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial9,-0.315649114428776,True
9,9,9,9,9,9,9,9,125213,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial10,-0.31559146344324,True
10,10,10,10,10,10,10,10,125214,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial11,-0.307972400759606,True
11,11,11,11,11,11,11,11,125215,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial12,-0.444409837009641,True
12,12,12,12,12,12,12,12,125216,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial13,-0.213337900750183,False
13,13,13,13,13,13,13,13,125217,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial14,-0.1672646854916099,False
14,14,14,14,14,14,14,14,125218,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial15,-0.7057425087388979,True
15,15,15,15,15,15,15,15,125219,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial16,-0.254729067451982,False
16,16,16,16,16,16,16,16,125220,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial17,-0.339325639995158,True
17,17,17,17,17,17,17,17,125221,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial18,-0.153845275023824,False
18,18,18,18,18,18,18,18,125222,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial19,-0.3042498538377919,True
19,19,19,19,19,19,19,19,125223,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial20,-0.4393212938314221,True
20,20,20,20,20,20,20,20,125224,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial21,-0.293069177142746,True
21,21,21,21,21,21,21,21,125225,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial22,-0.289525973004312,True
22,22,22,22,22,22,22,22,125226,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial23,0.115603596635235,False
23,23,23,23,23,23,23,23,125227,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial24,-0.156514840788515,False
24,24,24,24,24,24,24,24,125228,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial25,-0.4096238690717929,True
25,25,25,25,25,25,25,25,125229,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial26,-0.17274797954095,False
26,26,26,26,26,26,26,26,125230,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial27,-0.4877612578044369,True
27,27,27,27,27,27,27,27,125231,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial28,-0.2384196992661519,False
28,28,28,28,28,28,28,28,125232,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial29,-0.5112360060362561,True
29,29,29,29,29,29,29,29,125233,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial30,-0.4096238690717929,True
30,30,30,30,30,30,30,30,125234,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial31,-0.271779110063466,False
31,31,31,31,31,31,31,31,125235,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial32,-0.327355663926331,True
32,32,32,32,32,32,32,32,125236,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial33,-0.189712175778353,False
33,33,33,33,33,33,33,33,125237,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial34,-0.238323185806315,False
34,34,34,34,34,34,34,34,125238,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial35,-0.5173390316879011,True
35,35,35,35,35,35,35,35,125239,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial36,-0.228810036670286,False
36,36,36,36,36,36,36,36,125240,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial37,-0.54251710114515,True
37,37,37,37,37,37,37,37,125241,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial38,-0.148541793327129,False
38,38,38,38,38,38,38,38,125242,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial39,-0.1511788587774949,False
39,39,39,39,39,39,39,39,125243,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial40,-0.444487396520857,True
40,40,40,40,40,40,40,40,125244,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial41,-0.264936699768861,False
41,41,41,41,41,41,41,41,125245,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial42,-0.429144911717119,True
42,42,42,42,42,42,42,42,125246,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial43,-0.1811120040164349,False
43,43,43,43,43,43,43,43,125247,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial44,-0.1811966040910968,False
44,44,44,44,44,44,44,44,125248,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial45,-0.381984552939015,True
45,45,45,45,45,45,45,45,125249,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial46,-0.156514840788515,False
46,46,46,46,46,46,46,46,125250,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial47,-0.597910726902374,True
47,47,47,47,47,47,47,47,125251,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial48,-0.268404756043716,False
48,48,48,48,48,48,48,48,125252,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial49,-0.3234052716763869,True
49,49,49,49,49,49,49,49,125253,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial50,-0.5112360060362561,True
50,50,50,50,50,50,50,50,125254,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial51,-0.25138467643052,False
51,51,51,51,51,51,51,51,125255,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial52,-0.536212144957153,True
52,52,52,52,52,52,52,52,125256,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial53,-0.264936699768861,False
53,53,53,53,53,53,53,53,125257,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial54,-0.319471100401341,True
54,54,54,54,54,54,54,54,125258,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial55,-0.460230913321675,True
55,55,55,55,55,55,55,55,125259,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial56,-0.1983980644461288,False
56,56,56,56,56,56,56,56,125260,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial57,-0.5903207797156479,True
57,57,57,57,57,57,57,57,125261,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial58,-0.26483411052069,False
58,58,58,58,58,58,58,58,125262,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial59,-0.424305165430678,True
59,59,59,59,59,59,59,59,125263,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial60,-0.493569957608954,True
60,60,60,60,60,60,60,60,125264,VXE_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run17,Trial61,-0.195459135938821,False
